sample_id,latitude,longitude,nearest_moil_mine,distance_to_mine_km,elevation_m,ndvi_sentinel2,soil_moisture_sar_pct,lst_celsius_landsat9,rainfall_annual_chirps_mm,bouguer_gravity_anomaly_mgal,swir_alteration_ratio,magnetic_susceptibility_si,manganese_present
MOIL-SAMP-00046,21.58019,79.70477,Dongri Buzurg Mine,2.99,396.9,0.531,28.9,33.0,1264.2,-9.95,0.809,11.2,0
MOIL-SAMP-00047,21.58321,79.71358,Dongri Buzurg Mine,3.64,358.0,0.31,58.4,32.8,1181.1,23.42,2.175,23.6,1
MOIL-SAMP-00048,21.40706,78.99855,Gumgaon Mine,1.81,383.8,0.221,64.0,37.7,1263.4,20.47,1.761,46.5,1
MOIL-SAMP-00049,21.42874,79.26087,Kandri Mine,1.45,351.1,0.263,59.6,34.7,1344.4,13.58,1.972,52.1,1
MOIL-SAMP-00050,22.01509,80.50226,Ukwa Mine,6.29,349.9,0.749,31.6,30.7,1477.8,-3.4,1.292,10.4,0
MOIL-SAMP-00051,21.55712,79.74842,Chikla Mine,1.05,350.5,0.776,28.9,29.1,1454.5,-16.23,1.242,17.7,0
MOIL-SAMP-00052,21.38018,79.26379,Mansar Mine,2.19,379.5,0.689,30.1,30.0,1318.1,-6.29,1.401,16.6,0
MOIL-SAMP-00053,21.55537,79.69459,Dongri Buzurg Mine,0.33,362.8,0.205,59.7,35.4,1370.9,23.33,2.2,58.8,1
MOIL-SAMP-00054,21.7795,80.18187,Balaghat Mine (Largest underground Mn mine),2.6,458.9,0.31,66.4,37.9,1296.0,26.43,2.455,51.1,1
MOIL-SAMP-00055,21.5977,79.75287,Chikla Mine,3.84,500.9,0.755,46.2,30.2,1335.8,0.83,1.117,5.4,0
MOIL-SAMP-00056,21.81872,80.17367,Balaghat Mine (Largest underground Mn mine),2.28,467.2,0.585,23.8,31.1,1331.4,-4.14,1.23,13.7,0
MOIL-SAMP-00057,21.40986,79.27354,Mansar Mine,1.31,394.4,0.2,73.3,32.8,1197.1,26.51,2.129,32.6,1
MOIL-SAMP-00058,21.58674,79.75765,Sitasaongi Mine,0.54,312.2,0.309,56.8,33.3,1210.5,17.13,2.26,49.8,1
MOIL-SAMP-00059,21.58711,79.75214,Chikla Mine,2.71,381.2,0.519,48.5,30.4,1245.7,-7.1,1.333,10.5,0
MOIL-SAMP-00060,21.97333,80.46707,Ukwa Mine,0.6,407.4,0.377,53.6,38.7,1307.5,15.1,2.226,55.1,1
MOIL-SAMP-00061,21.95757,80.45334,Ukwa Mine,1.9,261.8,0.523,47.0,31.7,1352.3,-9.66,1.02,13.4,0
MOIL-SAMP-00062,21.7478,80.18965,Balaghat Mine (Largest underground Mn mine),6.05,380.9,0.65,35.2,27.3,1242.4,1.38,1.316,7.3,0
MOIL-SAMP-00063,21.59261,79.71087,Dongri Buzurg Mine,4.49,471.3,0.383,51.9,37.4,1283.9,24.72,1.923,39.4,1
MOIL-SAMP-00064,21.55637,79.69235,Dongri Buzurg Mine,0.58,443.5,0.797,46.0,29.9,1345.5,-4.51,1.105,19.1,0
MOIL-SAMP-00065,21.5922,79.76003,Sitasaongi Mine,1.02,462.4,0.336,56.3,33.9,1281.3,27.87,2.619,45.7,1
MOIL-SAMP-00066,21.58936,79.74251,Chikla Mine,2.75,355.9,0.154,63.1,32.4,1279.9,11.57,1.938,48.3,1
MOIL-SAMP-00067,21.59145,79.7813,Sitasaongi Mine,2.3,473.3,0.646,45.0,25.5,1276.1,-1.92,1.373,15.4,0
MOIL-SAMP-00068,21.64623,79.73192,Dongri Buzurg Mine,10.81,374.7,0.701,37.9,29.7,1411.9,-11.42,1.245,8.8,0
MOIL-SAMP-00069,21.88126,80.22206,Balaghat Mine (Largest underground Mn mine),9.42,389.9,0.667,34.8,34.0,1353.9,-1.32,0.678,8.3,0
MOIL-SAMP-00070,21.57921,79.73799,Chikla Mine,1.68,396.9,0.344,62.5,36.4,1283.1,30.13,2.036,43.1,1
MOIL-SAMP-00071,21.59041,79.76581,Sitasaongi Mine,0.96,359.0,0.226,63.9,35.3,1282.2,32.44,2.297,41.4,1
MOIL-SAMP-00072,21.35466,78.97827,Gumgaon Mine,4.77,465.7,0.627,56.4,36.8,1107.6,-13.92,1.07,3.5,0
MOIL-SAMP-00073,21.72759,79.73921,Tirodi Mine,5.0,382.7,0.547,25.6,27.3,1252.6,4.98,0.982,12.6,0
MOIL-SAMP-00074,21.63333,79.68021,Tirodi Mine,7.08,348.4,0.585,36.5,29.8,1119.7,-13.38,1.213,20.3,0
MOIL-SAMP-00075,21.40565,79.27259,Mansar Mine,0.85,342.9,0.387,59.0,32.3,1359.8,26.71,2.097,48.3,1
MOIL-SAMP-00076,21.55479,79.7156,Dongri Buzurg Mine,1.89,494.5,0.699,18.3,27.7,1307.7,-9.7,1.124,20.5,0
MOIL-SAMP-00077,21.42998,79.2678,Kandri Mine,1.44,237.8,0.255,54.3,33.6,1435.8,26.28,2.034,49.5,1
MOIL-SAMP-00078,21.76441,80.178,Balaghat Mine (Largest underground Mn mine),4.32,462.7,0.55,42.2,35.0,1313.5,-12.19,1.037,15.6,0
MOIL-SAMP-00079,21.44285,79.25527,Kandri Mine,3.11,476.3,0.648,49.1,31.9,1264.0,-7.07,1.207,14.5,0
MOIL-SAMP-00080,21.55842,79.70251,Dongri Buzurg Mine,0.72,441.3,0.138,58.8,35.5,1301.5,19.21,2.108,33.5,1
MOIL-SAMP-00081,21.54367,79.69852,Dongri Buzurg Mine,1.15,383.8,0.337,47.1,35.6,1293.5,35.21,2.902,56.9,1
MOIL-SAMP-00082,21.58196,79.71579,Dongri Buzurg Mine,3.63,413.2,0.346,44.7,34.7,1321.2,13.05,2.167,39.8,1
MOIL-SAMP-00083,21.7733,80.18251,Balaghat Mine (Largest underground Mn mine),3.27,453.1,0.186,68.6,33.7,1402.5,32.68,2.134,54.8,1
MOIL-SAMP-00084,21.41368,79.25966,Kandri Mine,0.84,324.8,0.347,62.6,35.2,1249.0,25.19,2.169,43.7,1
MOIL-SAMP-00085,21.40131,79.26494,Kandri Mine,1.75,363.1,0.2,76.5,32.9,1363.2,23.4,1.693,43.1,1
MOIL-SAMP-00086,21.63179,79.68478,Tirodi Mine,7.01,378.7,0.657,52.4,30.0,1265.7,-6.25,1.024,13.8,0
MOIL-SAMP-00087,21.5882,79.71365,Dongri Buzurg Mine,4.14,376.7,0.511,23.7,31.5,1276.2,-12.33,1.501,7.6,0
MOIL-SAMP-00088,21.57019,79.70251,Dongri Buzurg Mine,1.87,475.0,0.308,49.8,32.8,1276.6,16.05,2.125,54.6,1
MOIL-SAMP-00089,21.70707,79.71659,Tirodi Mine,2.06,394.7,0.789,64.0,29.8,1440.6,-4.07,0.878,1.5,0
MOIL-SAMP-00090,21.56873,79.71107,Dongri Buzurg Mine,2.16,293.3,0.202,53.0,34.7,1187.1,29.93,2.145,51.8,1
MOIL-SAMP-00091,21.3702,78.99467,Gumgaon Mine,2.47,342.9,0.549,37.6,33.6,1366.0,-11.02,1.445,16.5,0
MOIL-SAMP-00092,21.62311,79.70465,Tirodi Mine,7.31,374.3,0.691,41.8,25.4,1260.1,-1.98,1.584,11.1,0
MOIL-SAMP-00093,21.44534,79.27429,Kandri Mine,3.22,445.5,0.712,24.7,30.6,1287.5,-8.15,0.938,18.6,0
MOIL-SAMP-00094,21.69914,79.72142,Tirodi Mine,1.35,446.4,0.435,43.6,35.8,1322.8,26.49,2.371,59.7,1
MOIL-SAMP-00095,21.39059,78.98425,Gumgaon Mine,1.92,413.1,0.575,30.3,28.7,1309.9,-7.24,1.123,17.6,0
MOIL-SAMP-00096,21.42538,79.26334,Kandri Mine,1.0,337.7,0.358,45.9,35.2,1313.3,25.8,2.15,40.6,1
MOIL-SAMP-00097,21.55996,79.74647,Chikla Mine,0.68,407.3,0.278,57.5,34.8,1137.4,13.49,2.203,15.4,1
MOIL-SAMP-00098,21.66834,79.70654,Tirodi Mine,2.39,365.9,0.343,46.2,37.5,1450.0,24.46,2.591,35.8,1
MOIL-SAMP-00099,21.83544,80.1948,Balaghat Mine (Largest underground Mn mine),3.72,450.7,0.303,56.6,35.5,1221.9,27.07,2.046,18.2,1
MOIL-SAMP-00100,21.71214,79.7229,Tirodi Mine,2.74,316.1,0.196,56.1,37.5,1341.1,19.05,1.805,30.6,1
MOIL-SAMP-00101,21.38087,79.00607,Gumgaon Mine,1.19,342.9,0.303,79.8,34.4,1285.5,23.45,2.087,44.7,1
MOIL-SAMP-00102,21.5627,79.75623,Sitasaongi Mine,2.3,360.3,0.746,32.5,29.6,1290.5,-6.27,0.722,18.1,0
MOIL-SAMP-00103,21.87244,80.2001,Balaghat Mine (Largest underground Mn mine),7.85,508.1,0.622,58.2,28.9,1320.6,-1.31,1.346,17.7,0
MOIL-SAMP-00104,21.35641,79.00098,Gumgaon Mine,3.85,405.4,0.538,56.9,34.4,1244.5,3.0,0.752,8.3,0
MOIL-SAMP-00105,21.42265,79.26485,Kandri Mine,0.66,350.4,0.291,55.2,33.7,1321.9,34.57,2.076,37.8,1
MOIL-SAMP-00106,21.65331,79.6834,Tirodi Mine,5.08,386.0,0.576,65.4,28.9,1316.2,-8.66,1.168,18.8,0
MOIL-SAMP-00107,21.8211,80.19832,Balaghat Mine (Largest underground Mn mine),2.35,425.0,0.682,23.2,30.3,1430.9,-0.26,1.533,2.0,0
MOIL-SAMP-00108,21.55265,79.74529,Chikla Mine,1.35,326.3,0.221,48.8,36.8,1307.1,18.44,1.892,30.5,1
MOIL-SAMP-00109,21.42722,79.27603,Kandri Mine,1.47,386.9,0.234,61.2,35.3,1396.8,29.91,2.638,34.7,1
MOIL-SAMP-00110,21.40301,79.00794,Gumgaon Mine,1.41,306.2,0.381,69.2,34.1,1307.2,24.52,1.545,37.1,1
MOIL-SAMP-00111,21.42456,79.01147,Gumgaon Mine,3.8,353.8,0.735,32.8,27.2,1179.5,-5.72,1.218,17.9,0
MOIL-SAMP-00112,22.00442,80.48797,Ukwa Mine,4.52,393.2,0.655,63.4,29.5,1264.2,-4.79,1.081,10.0,0
MOIL-SAMP-00113,21.39938,79.28246,Mansar Mine,0.99,396.6,0.177,52.6,33.9,1331.1,24.31,2.651,41.6,1
MOIL-SAMP-00114,21.56499,79.72618,Chikla Mine,1.64,412.9,0.527,38.7,28.9,1379.7,-5.39,1.251,8.4,0
MOIL-SAMP-00115,21.54958,79.69339,Dongri Buzurg Mine,0.64,412.7,0.179,74.6,36.0,1348.6,30.97,1.432,62.9,1
MOIL-SAMP-00116,21.59419,79.74856,Chikla Mine,3.35,476.6,0.365,31.6,30.5,1213.7,-19.86,1.191,6.0,0
MOIL-SAMP-00117,21.56618,79.74056,Chikla Mine,0.24,369.4,0.386,64.2,38.1,1282.1,26.53,2.156,26.8,1
MOIL-SAMP-00118,21.57338,79.73185,Chikla Mine,1.44,432.0,0.191,53.6,35.1,1388.1,31.78,2.104,48.2,1
MOIL-SAMP-00119,21.95447,80.4419,Ukwa Mine,3.08,415.5,0.461,61.3,31.4,1244.5,-8.59,1.304,11.8,0
MOIL-SAMP-00120,21.67272,79.69917,Tirodi Mine,2.39,307.7,0.733,46.8,30.7,1358.0,-5.36,1.763,17.4,0
MOIL-SAMP-00121,21.41567,79.26476,Kandri Mine,0.27,263.1,0.177,52.5,33.5,1346.3,25.48,1.663,43.3,1
MOIL-SAMP-00122,21.72492,79.70906,Tirodi Mine,4.07,370.2,0.553,34.4,27.0,1241.2,-12.81,1.391,5.5,0
MOIL-SAMP-00123,21.72405,79.72734,Tirodi Mine,4.13,370.6,0.225,61.1,35.3,1201.5,25.12,2.081,41.8,1
MOIL-SAMP-00124,21.39423,79.27965,Mansar Mine,0.81,335.6,0.255,58.1,31.6,1328.8,30.98,1.94,32.3,1
MOIL-SAMP-00125,21.44449,79.26206,Kandri Mine,3.08,390.2,0.663,60.0,28.8,1346.4,4.44,1.458,12.9,0
MOIL-SAMP-00126,21.56747,79.72868,Chikla Mine,1.42,407.5,0.205,47.3,34.5,1282.9,13.83,2.531,55.5,1
MOIL-SAMP-00127,21.73768,80.16416,Balaghat Mine (Largest underground Mn mine),7.56,424.3,0.598,35.9,30.3,1205.6,-8.13,1.263,14.2,0
MOIL-SAMP-00128,21.55994,79.7378,Chikla Mine,0.67,418.8,0.356,59.9,34.4,1401.6,23.57,1.887,52.9,1
MOIL-SAMP-00129,21.37808,79.27658,Mansar Mine,2.23,370.9,0.64,32.9,36.9,1162.4,-5.97,1.051,6.5,0
MOIL-SAMP-00130,21.54725,79.702,Dongri Buzurg Mine,0.89,363.2,0.2,66.4,34.7,1261.6,23.49,2.631,54.4,1
MOIL-SAMP-00131,21.67444,79.71616,Tirodi Mine,1.56,410.0,0.335,69.1,30.9,1270.3,21.91,2.044,46.7,1
MOIL-SAMP-00132,21.67159,79.70975,Tirodi Mine,1.95,428.0,0.304,45.0,37.4,1286.6,26.02,2.141,54.1,1
MOIL-SAMP-00133,21.93923,80.46972,Ukwa Mine,3.19,396.5,0.631,37.7,23.1,1330.0,-8.2,0.956,18.3,0
MOIL-SAMP-00134,21.65014,79.68854,Tirodi Mine,5.05,350.8,0.57,63.4,37.6,1295.3,-4.29,1.11,10.5,0
MOIL-SAMP-00135,21.68521,79.7039,Tirodi Mine,1.2,443.4,0.336,69.6,35.8,1267.7,28.74,2.056,64.9,1
MOIL-SAMP-00136,21.38077,79.26595,Mansar Mine,2.04,419.0,0.284,66.6,34.5,1427.1,33.16,2.382,58.6,1
MOIL-SAMP-00137,21.52683,79.73007,Chikla Mine,4.34,407.3,0.525,23.7,30.5,1375.8,-10.01,0.814,4.0,0
MOIL-SAMP-00138,21.38195,79.00711,Gumgaon Mine,1.12,417.5,0.257,50.6,37.2,1370.8,22.97,1.634,29.5,1
MOIL-SAMP-00139,21.43538,79.27142,Kandri Mine,2.08,379.6,0.287,53.6,34.7,1343.5,28.81,2.14,38.2,1
MOIL-SAMP-00140,21.5559,79.74478,Chikla Mine,0.99,461.9,0.262,58.6,37.3,1300.7,20.7,2.721,40.2,1
MOIL-SAMP-00141,21.56902,79.74132,Chikla Mine,0.5,377.0,0.353,74.9,33.5,1338.4,19.63,2.637,20.3,1
MOIL-SAMP-00142,21.55462,79.76015,Sitasaongi Mine,3.14,376.0,0.684,59.0,33.1,1356.6,-5.92,1.52,15.5,0
MOIL-SAMP-00143,21.5616,79.746,Chikla Mine,0.52,283.2,0.286,67.2,34.4,1192.2,23.95,1.768,43.8,1
MOIL-SAMP-00144,21.55797,79.74856,Chikla Mine,0.99,443.6,0.53,28.2,33.1,1418.9,-9.64,1.103,2.9,0
MOIL-SAMP-00145,21.97515,80.45773,Ukwa Mine,1.32,421.0,0.395,73.6,33.8,1412.7,19.31,1.811,32.0,1
MOIL-SAMP-00146,21.85438,80.21898,Balaghat Mine (Largest underground Mn mine),6.61,361.2,0.438,33.5,30.9,1462.6,-0.02,0.639,10.7,0
MOIL-SAMP-00147,21.55466,79.70436,Dongri Buzurg Mine,0.72,349.3,0.327,72.8,37.4,1311.8,32.22,2.166,36.3,1
MOIL-SAMP-00148,21.39856,79.25919,Kandri Mine,2.19,362.5,0.327,57.7,32.5,1304.6,29.68,2.569,35.3,1
MOIL-SAMP-00149,21.51345,79.67255,Dongri Buzurg Mine,5.17,435.5,0.667,31.7,29.2,1246.3,1.19,1.083,16.9,0
MOIL-SAMP-00150,21.43729,79.27372,Kandri Mine,2.35,399.7,0.251,56.1,35.5,1260.8,24.63,1.966,41.4,1
MOIL-SAMP-00151,21.5567,79.76036,Sitasaongi Mine,2.91,355.5,0.283,55.1,33.7,1264.1,27.7,1.967,45.2,1
MOIL-SAMP-00152,21.3892,79.25035,Kandri Mine,3.53,412.8,0.715,45.8,29.9,1242.7,-0.14,0.898,21.4,0
MOIL-SAMP-00153,21.60571,79.77902,Sitasaongi Mine,3.13,393.8,0.299,47.4,36.6,1351.1,22.36,2.265,54.5,1
MOIL-SAMP-00154,21.55373,79.74486,Chikla Mine,1.23,379.1,0.353,44.0,33.8,1298.7,19.14,2.21,18.3,1
MOIL-SAMP-00155,21.688,79.72612,Tirodi Mine,1.15,480.4,0.218,55.4,35.4,1324.8,25.3,2.361,53.2,1
MOIL-SAMP-00156,21.5642,79.73827,Chikla Mine,0.39,391.5,0.385,45.8,38.9,1306.9,17.9,2.059,54.9,1
MOIL-SAMP-00157,21.69357,79.70874,Tirodi Mine,0.86,395.9,0.32,52.1,34.7,1327.6,12.18,2.391,41.7,1
MOIL-SAMP-00158,21.42523,79.26686,Kandri Mine,0.91,399.0,0.384,63.4,32.2,1244.6,24.44,2.578,41.3,1
MOIL-SAMP-00159,21.95018,80.47177,Ukwa Mine,2.01,419.5,0.698,77.5,33.0,1417.6,-7.3,1.109,10.2,0
MOIL-SAMP-00160,21.53677,79.68443,Dongri Buzurg Mine,2.33,347.2,0.313,54.4,33.8,1266.6,30.57,1.691,41.0,1
MOIL-SAMP-00161,21.5726,79.75377,Sitasaongi Mine,1.37,380.9,0.336,53.3,36.3,1304.0,26.25,2.251,43.0,1
MOIL-SAMP-00162,21.94358,80.44186,Ukwa Mine,3.82,428.9,0.761,46.6,30.6,1417.6,7.48,1.057,15.9,0
MOIL-SAMP-00163,21.83657,80.21293,Balaghat Mine (Largest underground Mn mine),4.61,470.0,0.652,49.0,29.5,1330.7,-10.0,1.229,4.8,0
MOIL-SAMP-00164,21.9175,80.4333,Ukwa Mine,6.63,393.3,0.579,23.3,34.7,1428.8,1.82,1.393,17.5,0
MOIL-SAMP-00165,21.68366,79.73129,Tirodi Mine,1.77,376.3,0.581,34.3,25.7,1397.0,-1.66,0.985,20.0,0
MOIL-SAMP-00166,21.93173,80.44947,Ukwa Mine,4.44,438.3,0.808,49.5,31.6,1290.9,-6.11,1.489,3.8,0
MOIL-SAMP-00167,21.54787,79.73569,Chikla Mine,1.95,488.7,0.604,23.9,32.5,1336.9,-5.89,0.735,18.8,0
MOIL-SAMP-00168,21.60067,79.76635,Sitasaongi Mine,2.03,455.0,0.293,57.0,33.9,1407.5,26.76,2.286,25.0,1
MOIL-SAMP-00169,21.95352,80.47808,Ukwa Mine,1.91,355.5,0.74,64.0,26.3,1409.8,3.11,0.894,18.9,0
MOIL-SAMP-00170,21.41394,79.00839,Gumgaon Mine,2.58,368.8,0.324,61.7,35.9,1229.7,12.46,2.239,29.7,1
MOIL-SAMP-00171,21.93762,80.45732,Ukwa Mine,3.54,373.0,0.625,45.5,35.1,1302.1,-5.88,1.336,13.3,0
MOIL-SAMP-00172,21.54433,79.69663,Dongri Buzurg Mine,1.07,445.5,0.396,64.6,34.2,1338.5,15.9,2.154,63.4,1
MOIL-SAMP-00173,21.59121,79.75766,Sitasaongi Mine,0.97,433.5,0.281,52.1,33.7,1415.7,29.34,1.662,36.4,1
MOIL-SAMP-00174,21.40339,79.26677,Kandri Mine,1.51,338.4,0.24,73.1,36.0,1315.6,20.6,2.345,40.4,1
MOIL-SAMP-00175,21.96833,80.44385,Ukwa Mine,2.49,282.5,0.569,45.7,26.9,1442.4,0.84,0.944,17.9,0
MOIL-SAMP-00176,21.96955,80.4648,Ukwa Mine,0.37,375.5,0.214,60.9,33.6,1334.3,32.63,2.34,24.0,1
MOIL-SAMP-00177,21.80152,80.18995,Balaghat Mine (Largest underground Mn mine),0.29,413.3,0.392,46.1,37.7,1373.0,26.68,2.403,63.0,1
MOIL-SAMP-00178,21.39981,79.27017,Mansar Mine,0.35,291.3,0.287,57.4,34.5,1316.6,27.81,1.805,51.7,1
MOIL-SAMP-00179,21.79802,80.2082,Balaghat Mine (Largest underground Mn mine),2.22,437.6,0.676,68.8,27.6,1408.5,-0.84,1.122,1.2,0
MOIL-SAMP-00180,21.57715,79.75718,Sitasaongi Mine,0.76,378.8,0.29,65.2,32.1,1300.3,23.04,2.151,46.8,1
MOIL-SAMP-00181,21.58917,79.74087,Chikla Mine,2.73,381.4,0.272,79.4,33.9,1409.4,30.77,1.885,57.3,1
MOIL-SAMP-00182,21.5491,79.73512,Chikla Mine,1.85,320.1,0.291,53.7,35.2,1291.7,27.63,2.611,48.1,1
MOIL-SAMP-00183,21.41186,79.26627,Kandri Mine,0.57,439.7,0.371,64.2,35.7,1149.6,23.65,2.594,61.7,1
MOIL-SAMP-00184,21.55451,79.7033,Dongri Buzurg Mine,0.61,359.0,0.297,55.1,33.7,1365.2,20.29,2.595,27.8,1
MOIL-SAMP-00185,21.69362,79.71587,Tirodi Mine,0.57,407.2,0.31,75.5,37.5,1247.5,31.2,2.684,59.6,1
MOIL-SAMP-00186,21.63416,79.70093,Tirodi Mine,6.18,444.7,0.549,48.4,34.0,1219.9,-9.66,1.371,19.2,0
MOIL-SAMP-00187,21.94422,80.44365,Ukwa Mine,3.64,434.6,0.221,73.5,37.2,1253.2,12.25,2.338,25.2,1
MOIL-SAMP-00188,21.51199,79.68636,Dongri Buzurg Mine,4.78,497.2,0.644,52.4,34.1,1279.0,0.15,1.111,1.6,0
