Date,Equipment_ID,Mine_Location,Failure_Reason,Downtime_Hours,Repair_Cost_INR,Repair_Status
2026-08-12,EQ-MOIL-4645,Chikla Mine (Underground),Electrical Fault,24.6,165292.17,Completed
2026-07-28,EQ-MOIL-6695,Dongri Buzurg Mine (Opencast),Hydraulic System Failure,40.8,265506.5,Completed
2026-07-26,EQ-MOIL-7720,Gumgaon Mine (Underground),Electrical Fault,9.2,37442.02,Completed
2026-08-23,EQ-MOIL-9888,Dongri Buzurg Mine (Opencast),Engine Overheating,28.0,143469.12,Completed
2026-09-04,EQ-MOIL-5981,Tirodi Mine (Opencast),Tread/Tyre Wear,30.3,207095.08,Completed
2026-07-23,EQ-MOIL-1118,Kandri Mine (Underground),Tread/Tyre Wear,62.9,274319.27,In Progress
2026-07-13,EQ-MOIL-6910,Chikla Mine (Underground),Routine Maintenance,58.5,300181.64,In Progress
2026-08-11,EQ-MOIL-6262,Gumgaon Mine (Underground),Hydraulic System Failure,48.1,291791.67,In Progress
2026-08-25,EQ-MOIL-4285,Mansar Mine (Underground/Opencast),Routine Maintenance,27.5,139542.44,Completed
2026-08-03,EQ-MOIL-8339,Chikla Mine (Underground),Engine Overheating,57.5,256303.33,In Progress
2026-07-12,EQ-MOIL-1118,Kandri Mine (Underground),Routine Maintenance,2.7,18031.26,Completed
2026-07-31,EQ-MOIL-2404,Chikla Mine (Underground),Hydraulic System Failure,5.3,18502.47,Completed
2026-08-01,EQ-MOIL-8339,Chikla Mine (Underground),Hydraulic System Failure,37.8,295724.45,Completed
2026-09-03,EQ-MOIL-1118,Kandri Mine (Underground),Hydraulic System Failure,23.5,153603.29,Completed
2026-08-12,EQ-MOIL-6262,Gumgaon Mine (Underground),Hydraulic System Failure,18.2,108908.85,Completed
2026-07-18,EQ-MOIL-4155,Gumgaon Mine (Underground),Hydraulic System Failure,12.9,89573.39,Completed
2026-07-11,EQ-MOIL-2137,Dongri Buzurg Mine (Opencast),Hydraulic System Failure,59.0,385827.51,In Progress
2026-07-29,EQ-MOIL-1118,Kandri Mine (Underground),Routine Maintenance,69.1,151042.1,In Progress
2026-08-11,EQ-MOIL-8928,Mansar Mine (Underground/Opencast),Hydraulic System Failure,2.3,12719.52,Completed
2026-07-30,EQ-MOIL-6967,Gumgaon Mine (Underground),Tread/Tyre Wear,61.1,250730.69,In Progress
2026-08-27,EQ-MOIL-6262,Gumgaon Mine (Underground),Tread/Tyre Wear,8.8,18433.19,Completed
2026-08-30,EQ-MOIL-6500,Kandri Mine (Underground),Tread/Tyre Wear,34.8,160059.01,Completed
2026-07-11,EQ-MOIL-3951,Gumgaon Mine (Underground),Electrical Fault,69.7,152992.45,In Progress
2026-08-28,EQ-MOIL-4285,Mansar Mine (Underground/Opencast),Routine Maintenance,5.1,20324.02,Completed
2026-08-10,EQ-MOIL-6910,Chikla Mine (Underground),Routine Maintenance,13.0,55958.33,Completed
2026-08-31,EQ-MOIL-8888,Dongri Buzurg Mine (Opencast),Hydraulic System Failure,58.9,237399.68,In Progress
2026-07-25,EQ-MOIL-5981,Tirodi Mine (Opencast),Engine Overheating,7.4,43341.29,Completed
2026-07-13,EQ-MOIL-8928,Mansar Mine (Underground/Opencast),Hydraulic System Failure,18.5,141652.13,Completed
2026-08-30,EQ-MOIL-2137,Dongri Buzurg Mine (Opencast),Hydraulic System Failure,55.7,130373.29,In Progress
2026-08-17,EQ-MOIL-2404,Chikla Mine (Underground),Tread/Tyre Wear,19.6,154348.65,Completed
2026-09-02,EQ-MOIL-2137,Dongri Buzurg Mine (Opencast),Engine Overheating,59.2,297862.23,In Progress
2026-08-17,EQ-MOIL-2404,Chikla Mine (Underground),Engine Overheating,10.2,63710.68,Completed
2026-07-27,EQ-MOIL-8339,Chikla Mine (Underground),Tread/Tyre Wear,53.0,362854.74,In Progress
2026-08-22,EQ-MOIL-4645,Chikla Mine (Underground),Tread/Tyre Wear,25.7,108117.98,Completed
2026-07-11,EQ-MOIL-3951,Gumgaon Mine (Underground),Hydraulic System Failure,60.9,219188.44,In Progress
2026-08-23,EQ-MOIL-6500,Kandri Mine (Underground),Hydraulic System Failure,59.5,166925.71,In Progress
2026-08-11,EQ-MOIL-4285,Mansar Mine (Underground/Opencast),Hydraulic System Failure,45.4,298230.78,Completed
2026-07-09,EQ-MOIL-5981,Tirodi Mine (Opencast),Engine Overheating,70.0,441592.05,In Progress
2026-08-03,EQ-MOIL-6500,Kandri Mine (Underground),Routine Maintenance,42.0,268597.28,Completed
2026-08-04,EQ-MOIL-9888,Dongri Buzurg Mine (Opencast),Routine Maintenance,70.1,324390.75,In Progress
2026-08-12,EQ-MOIL-8888,Dongri Buzurg Mine (Opencast),Routine Maintenance,61.5,423519.85,In Progress
2026-07-17,EQ-MOIL-8888,Dongri Buzurg Mine (Opencast),Electrical Fault,7.3,46720.47,Completed
2026-08-05,EQ-MOIL-8928,Mansar Mine (Underground/Opencast),Electrical Fault,16.9,78203.58,Completed
2026-07-17,EQ-MOIL-6500,Kandri Mine (Underground),Tread/Tyre Wear,37.0,250251.89,Completed
2026-09-05,EQ-MOIL-4645,Chikla Mine (Underground),Routine Maintenance,47.1,347936.32,Completed
2026-07-16,EQ-MOIL-2012,Balaghat Mine (Underground/Opencast),Electrical Fault,24.7,132433.43,Completed
2026-07-10,EQ-MOIL-1118,Kandri Mine (Underground),Hydraulic System Failure,71.8,144007.21,In Progress
2026-08-08,EQ-MOIL-4285,Mansar Mine (Underground/Opencast),Hydraulic System Failure,20.7,80610.75,Completed
2026-08-03,EQ-MOIL-6910,Chikla Mine (Underground),Tread/Tyre Wear,48.8,134990.45,In Progress
2026-07-08,EQ-MOIL-2404,Chikla Mine (Underground),Electrical Fault,35.2,122415.31,Completed
2026-07-26,EQ-MOIL-6910,Chikla Mine (Underground),Hydraulic System Failure,60.7,315484.62,In Progress
2026-08-26,EQ-MOIL-5981,Tirodi Mine (Opencast),Tread/Tyre Wear,4.8,31782.63,Completed
2026-08-25,EQ-MOIL-2404,Chikla Mine (Underground),Tread/Tyre Wear,19.3,143782.08,Completed
2026-08-22,EQ-MOIL-2404,Chikla Mine (Underground),Tread/Tyre Wear,17.9,122379.11,Completed
2026-08-20,EQ-MOIL-2137,Dongri Buzurg Mine (Opencast),Routine Maintenance,26.8,195207.58,Completed
2026-08-07,EQ-MOIL-8888,Dongri Buzurg Mine (Opencast),Routine Maintenance,61.1,423921.12,In Progress
2026-08-09,EQ-MOIL-9888,Dongri Buzurg Mine (Opencast),Routine Maintenance,52.0,341856.16,In Progress
2026-07-08,EQ-MOIL-6262,Gumgaon Mine (Underground),Routine Maintenance,63.2,432285.59,In Progress
2026-08-19,EQ-MOIL-7720,Gumgaon Mine (Underground),Tread/Tyre Wear,36.7,106131.31,Completed
2026-07-18,EQ-MOIL-9888,Dongri Buzurg Mine (Opencast),Routine Maintenance,16.6,73213.54,Completed
2026-07-25,EQ-MOIL-2012,Balaghat Mine (Underground/Opencast),Routine Maintenance,30.4,162264.62,Completed
2026-08-30,EQ-MOIL-2537,Mansar Mine (Underground/Opencast),Routine Maintenance,39.1,83146.43,Completed
2026-07-21,EQ-MOIL-2537,Mansar Mine (Underground/Opencast),Hydraulic System Failure,68.3,396541.0,In Progress
2026-07-15,EQ-MOIL-5981,Tirodi Mine (Opencast),Routine Maintenance,63.0,130890.38,In Progress
2026-08-22,EQ-MOIL-6910,Chikla Mine (Underground),Hydraulic System Failure,17.8,36026.55,Completed
2026-08-26,EQ-MOIL-2404,Chikla Mine (Underground),Routine Maintenance,64.3,286534.61,In Progress
2026-07-13,EQ-MOIL-9888,Dongri Buzurg Mine (Opencast),Hydraulic System Failure,41.1,180027.51,Completed
2026-08-12,EQ-MOIL-8928,Mansar Mine (Underground/Opencast),Routine Maintenance,23.3,96942.14,Completed
2026-07-23,EQ-MOIL-6695,Dongri Buzurg Mine (Opencast),Engine Overheating,25.1,123385.59,Completed
2026-07-13,EQ-MOIL-6262,Gumgaon Mine (Underground),Routine Maintenance,63.8,499058.11,In Progress
2026-07-26,EQ-MOIL-4155,Gumgaon Mine (Underground),Routine Maintenance,39.3,91763.04,Completed
2026-08-18,EQ-MOIL-2404,Chikla Mine (Underground),Electrical Fault,7.7,60143.94,Completed
2026-08-08,EQ-MOIL-8888,Dongri Buzurg Mine (Opencast),Hydraulic System Failure,2.6,11042.69,Completed
2026-07-16,EQ-MOIL-6910,Chikla Mine (Underground),Hydraulic System Failure,26.1,138974.72,Completed
2026-07-15,EQ-MOIL-2537,Mansar Mine (Underground/Opencast),Hydraulic System Failure,26.2,111327.85,Completed
2026-07-23,EQ-MOIL-9888,Dongri Buzurg Mine (Opencast),Routine Maintenance,3.5,18547.45,Completed
2026-07-27,EQ-MOIL-2537,Mansar Mine (Underground/Opencast),Tread/Tyre Wear,5.4,35253.08,Completed
2026-07-14,EQ-MOIL-2404,Chikla Mine (Underground),Routine Maintenance,22.5,53424.81,Completed
2026-08-17,EQ-MOIL-4285,Mansar Mine (Underground/Opencast),Electrical Fault,17.9,103651.13,Completed
2026-09-04,EQ-MOIL-6695,Dongri Buzurg Mine (Opencast),Tread/Tyre Wear,29.6,76094.82,Completed
2026-07-17,EQ-MOIL-8339,Chikla Mine (Underground),Engine Overheating,20.6,106008.56,Completed
2026-07-18,EQ-MOIL-2404,Chikla Mine (Underground),Tread/Tyre Wear,14.7,38229.17,Completed
2026-08-25,EQ-MOIL-6500,Kandri Mine (Underground),Electrical Fault,22.7,147795.27,Completed
2026-08-29,EQ-MOIL-2137,Dongri Buzurg Mine (Opencast),Routine Maintenance,59.3,303779.62,In Progress
2026-07-26,EQ-MOIL-4155,Gumgaon Mine (Underground),Tread/Tyre Wear,52.9,383486.58,In Progress
2026-07-17,EQ-MOIL-4155,Gumgaon Mine (Underground),Routine Maintenance,38.1,83533.18,Completed
2026-08-13,EQ-MOIL-9888,Dongri Buzurg Mine (Opencast),Engine Overheating,44.2,323356.09,Completed
2026-08-17,EQ-MOIL-6500,Kandri Mine (Underground),Routine Maintenance,60.1,422412.11,In Progress
2026-08-24,EQ-MOIL-8888,Dongri Buzurg Mine (Opencast),Engine Overheating,25.1,158775.82,Completed
2026-08-19,EQ-MOIL-4155,Gumgaon Mine (Underground),Engine Overheating,61.5,409636.44,In Progress
2026-07-09,EQ-MOIL-6500,Kandri Mine (Underground),Electrical Fault,19.2,110670.81,Completed
2026-07-12,EQ-MOIL-6967,Gumgaon Mine (Underground),Routine Maintenance,45.5,123448.58,Completed
2026-08-28,EQ-MOIL-2012,Balaghat Mine (Underground/Opencast),Electrical Fault,4.3,23206.29,Completed
2026-07-22,EQ-MOIL-2137,Dongri Buzurg Mine (Opencast),Electrical Fault,25.3,53357.14,Completed
2026-08-24,EQ-MOIL-3951,Gumgaon Mine (Underground),Hydraulic System Failure,42.3,259807.5,Completed
2026-08-18,EQ-MOIL-6262,Gumgaon Mine (Underground),Routine Maintenance,43.6,324064.85,Completed
2026-08-29,EQ-MOIL-8888,Dongri Buzurg Mine (Opencast),Tread/Tyre Wear,61.1,418001.04,In Progress
2026-08-05,EQ-MOIL-8928,Mansar Mine (Underground/Opencast),Routine Maintenance,23.7,114043.46,Completed
2026-07-13,EQ-MOIL-8928,Mansar Mine (Underground/Opencast),Tread/Tyre Wear,59.1,255950.42,In Progress
2026-08-06,EQ-MOIL-2012,Balaghat Mine (Underground/Opencast),Tread/Tyre Wear,46.6,359830.56,Completed
2026-07-17,EQ-MOIL-8928,Mansar Mine (Underground/Opencast),Tread/Tyre Wear,68.5,273503.71,In Progress
2026-07-29,EQ-MOIL-4155,Gumgaon Mine (Underground),Electrical Fault,68.9,485746.79,In Progress
2026-07-26,EQ-MOIL-2012,Balaghat Mine (Underground/Opencast),Hydraulic System Failure,41.5,126640.76,Completed
2026-08-12,EQ-MOIL-8928,Mansar Mine (Underground/Opencast),Electrical Fault,14.6,87597.55,Completed
2026-07-28,EQ-MOIL-8928,Mansar Mine (Underground/Opencast),Electrical Fault,11.6,39381.42,Completed
2026-07-09,EQ-MOIL-6262,Gumgaon Mine (Underground),Routine Maintenance,59.6,156735.39,In Progress
2026-09-03,EQ-MOIL-2012,Balaghat Mine (Underground/Opencast),Tread/Tyre Wear,61.2,268521.64,In Progress
2026-08-17,EQ-MOIL-5981,Tirodi Mine (Opencast),Routine Maintenance,65.2,294228.57,In Progress
2026-08-18,EQ-MOIL-6695,Dongri Buzurg Mine (Opencast),Engine Overheating,54.8,232884.48,In Progress
2026-07-08,EQ-MOIL-7720,Gumgaon Mine (Underground),Tread/Tyre Wear,46.8,301745.53,Completed
2026-08-28,EQ-MOIL-2137,Dongri Buzurg Mine (Opencast),Engine Overheating,67.6,157281.72,In Progress
2026-08-21,EQ-MOIL-4645,Chikla Mine (Underground),Electrical Fault,48.5,371672.24,In Progress
2026-08-22,EQ-MOIL-6695,Dongri Buzurg Mine (Opencast),Engine Overheating,7.6,15361.67,Completed
2026-07-23,EQ-MOIL-4645,Chikla Mine (Underground),Hydraulic System Failure,52.3,376271.55,In Progress
2026-08-22,EQ-MOIL-7720,Gumgaon Mine (Underground),Hydraulic System Failure,32.4,170035.93,Completed
2026-07-29,EQ-MOIL-6262,Gumgaon Mine (Underground),Routine Maintenance,42.4,111095.26,Completed
2026-08-05,EQ-MOIL-8888,Dongri Buzurg Mine (Opencast),Routine Maintenance,8.0,43672.69,Completed
2026-08-08,EQ-MOIL-6262,Gumgaon Mine (Underground),Hydraulic System Failure,12.5,65406.12,Completed
2026-08-25,EQ-MOIL-3951,Gumgaon Mine (Underground),Hydraulic System Failure,34.9,134755.93,Completed
2026-07-10,EQ-MOIL-4285,Mansar Mine (Underground/Opencast),Tread/Tyre Wear,61.2,324132.28,In Progress
2026-07-29,EQ-MOIL-5981,Tirodi Mine (Opencast),Tread/Tyre Wear,26.0,128648.27,Completed
2026-07-20,EQ-MOIL-4645,Chikla Mine (Underground),Hydraulic System Failure,25.5,114389.86,Completed
2026-07-27,EQ-MOIL-6262,Gumgaon Mine (Underground),Engine Overheating,5.2,13419.5,Completed
2026-08-22,EQ-MOIL-2137,Dongri Buzurg Mine (Opencast),Engine Overheating,63.7,502846.74,In Progress
2026-09-02,EQ-MOIL-6262,Gumgaon Mine (Underground),Tread/Tyre Wear,43.4,243977.66,Completed
2026-07-08,EQ-MOIL-4645,Chikla Mine (Underground),Electrical Fault,49.1,135238.35,In Progress
2026-08-24,EQ-MOIL-8928,Mansar Mine (Underground/Opencast),Engine Overheating,63.9,154588.47,In Progress
2026-07-19,EQ-MOIL-2537,Mansar Mine (Underground/Opencast),Tread/Tyre Wear,37.2,138728.22,Completed
2026-09-05,EQ-MOIL-2537,Mansar Mine (Underground/Opencast),Hydraulic System Failure,28.6,155329.39,Completed
2026-08-01,EQ-MOIL-2012,Balaghat Mine (Underground/Opencast),Tread/Tyre Wear,70.4,385868.43,In Progress
2026-08-20,EQ-MOIL-5981,Tirodi Mine (Opencast),Routine Maintenance,37.8,298613.44,Completed
2026-07-25,EQ-MOIL-8888,Dongri Buzurg Mine (Opencast),Tread/Tyre Wear,62.3,461205.76,In Progress
2026-07-25,EQ-MOIL-4155,Gumgaon Mine (Underground),Hydraulic System Failure,42.4,294426.19,Completed
2026-08-07,EQ-MOIL-6695,Dongri Buzurg Mine (Opencast),Electrical Fault,32.7,223508.43,Completed
2026-08-20,EQ-MOIL-9888,Dongri Buzurg Mine (Opencast),Electrical Fault,39.2,181289.81,Completed
2026-08-06,EQ-MOIL-8928,Mansar Mine (Underground/Opencast),Tread/Tyre Wear,54.7,345365.35,In Progress
2026-09-04,EQ-MOIL-6500,Kandri Mine (Underground),Electrical Fault,58.7,341098.59,In Progress
2026-07-17,EQ-MOIL-8928,Mansar Mine (Underground/Opencast),Routine Maintenance,28.0,214980.64,Completed
2026-08-12,EQ-MOIL-6695,Dongri Buzurg Mine (Opencast),Tread/Tyre Wear,30.6,90968.03,Completed
2026-08-03,EQ-MOIL-7720,Gumgaon Mine (Underground),Electrical Fault,33.3,112693.11,Completed
2026-07-24,EQ-MOIL-4645,Chikla Mine (Underground),Engine Overheating,51.2,270751.53,In Progress
2026-08-27,EQ-MOIL-3951,Gumgaon Mine (Underground),Engine Overheating,68.7,205609.7,In Progress
2026-07-23,EQ-MOIL-5981,Tirodi Mine (Opencast),Engine Overheating,10.6,64151.35,Completed
2026-07-16,EQ-MOIL-4155,Gumgaon Mine (Underground),Tread/Tyre Wear,61.2,467994.39,In Progress
2026-07-19,EQ-MOIL-2404,Chikla Mine (Underground),Engine Overheating,43.2,267471.69,Completed
2026-08-20,EQ-MOIL-3951,Gumgaon Mine (Underground),Hydraulic System Failure,34.6,166789.55,Completed
2026-07-19,EQ-MOIL-3951,Gumgaon Mine (Underground),Tread/Tyre Wear,45.4,249297.86,Completed
2026-08-01,EQ-MOIL-4285,Mansar Mine (Underground/Opencast),Routine Maintenance,64.5,445939.96,In Progress
2026-08-07,EQ-MOIL-2137,Dongri Buzurg Mine (Opencast),Engine Overheating,48.2,242347.51,In Progress
2026-07-15,EQ-MOIL-4155,Gumgaon Mine (Underground),Electrical Fault,10.2,56991.32,Completed
2026-07-09,EQ-MOIL-6910,Chikla Mine (Underground),Electrical Fault,13.9,71261.36,Completed
