time,temperature_2m,precipitation,soil_moisture_0_to_7cm,wind_gusts_10m,Rolling_72h_Rainfall,Pending_Target_Tons,Days_To_Deadline,Overtime_Capacity_hrs,Recommended_Action
2025-09-07 12:00:00,29.5,0.2,0.437,21.2,5.4,956,12,4,Normal Operations
2025-09-07 13:00:00,28.8,0.3,0.438,22.7,5.7,660,1,0,Normal Operations
2025-09-07 14:00:00,27.1,5.0,0.498,22.0,10.7,574,10,3,Pause Operations & Maintain Equipment
2025-09-07 15:00:00,27.5,0.1,0.495,16.2,10.8,158,2,4,Normal Operations
2025-09-07 16:00:00,27.4,1.1,0.502,13.3,11.9,610,6,1,Normal Operations
2025-09-07 17:00:00,26.2,3.7,0.51,15.1,15.6,781,8,3,Pause Operations & Maintain Equipment
2025-09-07 18:00:00,27.1,0.0,0.405,13.7,15.6,575,13,1,Normal Operations
2025-09-07 19:00:00,26.5,0.0,0.406,7.2,15.6,799,3,2,Normal Operations
2025-09-07 20:00:00,25.9,0.0,0.407,7.6,15.6,882,11,1,Normal Operations
2025-09-07 21:00:00,25.3,0.0,0.408,7.6,15.6,289,15,3,Normal Operations
2025-09-07 22:00:00,24.9,0.0,0.409,6.5,15.6,786,9,2,Normal Operations
2025-09-07 23:00:00,24.9,0.0,0.41,5.8,15.6,662,15,3,Normal Operations
2025-09-08 00:00:00,24.5,0.0,0.411,1.8,15.6,975,12,3,Normal Operations
2025-09-08 01:00:00,24.1,0.0,0.411,4.7,15.6,666,9,2,Normal Operations
2025-09-08 02:00:00,23.6,0.0,0.412,5.0,15.6,343,2,1,Normal Operations
2025-09-08 03:00:00,23.3,0.0,0.413,4.7,15.6,931,8,0,Normal Operations
2025-09-08 04:00:00,23.1,0.0,0.414,4.7,15.6,604,10,0,Normal Operations
2025-09-08 05:00:00,23.0,0.0,0.415,3.6,15.6,230,11,0,Normal Operations
2025-09-08 06:00:00,24.3,0.8,0.469,10.1,16.400000000000002,584,12,0,Normal Operations
2025-09-08 07:00:00,24.9,0.6,0.476,12.6,17.0,918,5,4,Normal Operations
2025-09-08 08:00:00,26.2,0.1,0.475,16.2,17.1,746,4,0,Normal Operations
2025-09-08 09:00:00,27.5,0.1,0.474,15.8,17.2,120,10,2,Normal Operations
2025-09-08 10:00:00,28.6,0.1,0.472,17.3,17.3,940,5,0,Normal Operations
2025-09-08 11:00:00,29.4,0.1,0.469,20.2,17.400000000000002,266,4,3,Normal Operations
2025-09-08 12:00:00,29.8,0.1,0.467,20.5,17.5,373,8,0,Normal Operations
2025-09-08 13:00:00,29.9,0.0,0.465,20.9,17.5,487,4,1,Normal Operations
2025-09-08 14:00:00,28.4,0.4,0.467,12.6,17.900000000000002,700,13,2,Normal Operations
2025-09-08 15:00:00,27.9,0.2,0.466,19.8,18.1,415,10,2,Normal Operations
2025-09-08 16:00:00,28.1,0.0,0.465,15.1,18.1,113,12,4,Normal Operations
2025-09-08 17:00:00,27.7,0.0,0.464,12.2,18.1,341,13,3,Normal Operations
2025-09-08 18:00:00,26.9,0.0,0.447,14.0,18.1,876,14,2,Normal Operations
2025-09-08 19:00:00,26.3,0.0,0.447,15.5,18.1,445,6,1,Normal Operations
2025-09-08 20:00:00,25.9,0.0,0.447,15.5,18.1,664,2,0,Normal Operations
2025-09-08 21:00:00,25.4,0.0,0.447,9.4,18.1,997,5,2,Normal Operations
2025-09-08 22:00:00,25.2,0.0,0.447,12.2,18.1,439,6,1,Normal Operations
2025-09-08 23:00:00,25.2,0.1,0.448,15.8,18.2,191,5,0,Normal Operations
2025-09-09 00:00:00,25.1,0.3,0.45,16.6,18.5,466,12,4,Normal Operations
2025-09-09 01:00:00,24.7,0.0,0.45,15.1,18.5,554,2,2,Normal Operations
2025-09-09 02:00:00,24.4,0.0,0.45,15.8,18.5,527,14,2,Normal Operations
2025-09-09 03:00:00,23.9,0.0,0.45,12.2,18.5,608,7,1,Normal Operations
2025-09-09 04:00:00,23.6,0.0,0.451,14.0,18.5,875,4,3,Normal Operations
2025-09-09 05:00:00,23.5,0.0,0.451,14.4,18.5,134,8,4,Normal Operations
2025-09-09 06:00:00,24.3,0.0,0.447,12.2,18.5,305,7,3,Normal Operations
2025-09-09 07:00:00,25.6,0.0,0.447,16.2,18.5,180,7,2,Normal Operations
2025-09-09 08:00:00,27.2,0.0,0.447,23.4,18.4,661,9,3,Normal Operations
2025-09-09 09:00:00,28.9,0.0,0.446,24.5,18.1,971,1,0,Normal Operations
2025-09-09 10:00:00,30.0,0.1,0.444,22.0,18.0,487,10,4,Normal Operations
2025-09-09 11:00:00,30.9,0.1,0.441,19.8,17.9,101,6,3,Normal Operations
2025-09-09 12:00:00,31.0,0.1,0.439,19.4,17.900000000000002,489,6,0,Normal Operations
2025-09-09 13:00:00,29.3,1.8,0.455,22.3,18.8,665,6,1,Normal Operations
2025-09-09 14:00:00,27.2,1.8,0.472,23.8,19.3,205,13,3,Normal Operations
2025-09-09 15:00:00,28.3,0.2,0.472,23.8,19.4,871,12,4,Normal Operations
2025-09-09 16:00:00,28.4,0.0,0.471,14.8,19.4,921,6,0,Normal Operations
2025-09-09 17:00:00,26.7,0.6,0.474,21.6,19.8,576,12,3,Normal Operations
2025-09-09 18:00:00,27.1,0.2,0.437,10.1,20.000000000000004,802,10,1,Normal Operations
2025-09-09 19:00:00,26.3,0.0,0.437,15.5,20.000000000000004,501,7,3,Normal Operations
2025-09-09 20:00:00,25.6,0.0,0.438,15.1,20.000000000000004,829,14,0,Normal Operations
2025-09-09 21:00:00,25.1,0.0,0.438,19.4,20.000000000000004,655,10,3,Normal Operations
2025-09-09 22:00:00,24.8,0.0,0.438,17.6,20.000000000000004,261,6,4,Normal Operations
2025-09-09 23:00:00,24.7,0.0,0.438,19.4,20.000000000000004,301,1,2,Normal Operations
2025-09-10 00:00:00,24.6,0.0,0.438,18.7,20.000000000000004,369,3,0,Normal Operations
2025-09-10 01:00:00,24.5,0.0,0.439,20.2,20.000000000000004,962,2,0,Normal Operations
2025-09-10 02:00:00,24.4,0.0,0.439,20.2,20.000000000000004,915,6,0,Normal Operations
2025-09-10 03:00:00,24.2,0.0,0.439,20.5,20.000000000000004,370,8,0,Normal Operations
2025-09-10 04:00:00,24.2,0.0,0.439,20.2,20.000000000000004,555,3,3,Normal Operations
2025-09-10 05:00:00,24.2,0.0,0.439,19.1,20.000000000000004,561,10,4,Normal Operations
2025-09-10 06:00:00,24.6,0.0,0.449,19.4,18.6,826,8,1,Normal Operations
2025-09-10 07:00:00,25.9,0.0,0.449,21.2,18.6,351,8,4,Normal Operations
2025-09-10 08:00:00,27.5,0.0,0.448,22.0,18.6,801,5,0,Normal Operations
2025-09-10 09:00:00,29.3,0.0,0.447,25.2,18.500000000000004,395,8,3,Normal Operations
2025-09-10 10:00:00,30.4,0.0,0.445,24.8,18.4,824,6,3,Normal Operations
2025-09-10 11:00:00,31.0,0.1,0.442,23.0,18.3,819,5,0,Normal Operations
2025-09-10 12:00:00,31.3,0.1,0.44,23.4,18.200000000000003,848,9,3,Normal Operations
2025-09-10 13:00:00,31.8,0.0,0.438,24.5,17.900000000000002,437,14,0,Normal Operations
2025-09-10 14:00:00,30.5,0.6,0.441,24.5,13.500000000000002,978,7,4,Normal Operations
2025-09-10 15:00:00,30.5,1.5,0.456,25.9,14.9,152,8,2,Normal Operations
2025-09-10 16:00:00,28.9,0.8,0.462,23.8,14.6,891,1,3,Normal Operations
2025-09-10 17:00:00,28.4,0.5,0.467,19.8,11.4,316,11,0,Normal Operations
2025-09-10 18:00:00,27.5,0.0,0.469,13.7,11.4,863,2,0,Normal Operations
2025-09-10 19:00:00,26.9,0.0,0.468,10.8,11.4,287,8,3,Normal Operations
2025-09-10 20:00:00,26.3,0.0,0.468,10.8,11.4,479,12,1,Normal Operations
2025-09-10 21:00:00,25.9,0.0,0.468,8.6,11.4,592,9,0,Normal Operations
2025-09-10 22:00:00,25.6,0.0,0.467,11.2,11.4,140,4,3,Normal Operations
2025-09-10 23:00:00,25.5,0.0,0.467,14.8,11.4,256,12,0,Normal Operations
2025-09-11 00:00:00,25.3,0.0,0.467,15.1,11.4,114,10,1,Normal Operations
2025-09-11 01:00:00,25.4,0.0,0.467,14.4,11.4,912,11,2,Normal Operations
2025-09-11 02:00:00,25.1,0.0,0.466,14.4,11.4,164,10,1,Normal Operations
2025-09-11 03:00:00,25.0,0.0,0.466,15.1,11.4,956,14,4,Normal Operations
2025-09-11 04:00:00,24.9,0.0,0.466,16.9,11.4,938,9,3,Normal Operations
2025-09-11 05:00:00,24.8,0.0,0.466,18.0,11.4,620,4,1,Normal Operations
2025-09-11 06:00:00,25.8,0.0,0.449,18.7,10.6,443,10,2,Normal Operations
2025-09-11 07:00:00,26.8,0.0,0.449,18.7,10.0,228,10,0,Normal Operations
2025-09-11 08:00:00,28.1,0.0,0.449,19.8,9.9,747,10,3,Normal Operations
2025-09-11 09:00:00,29.1,0.2,0.449,25.2,10.0,571,9,1,Normal Operations
2025-09-11 10:00:00,29.8,0.1,0.448,26.3,10.0,162,11,2,Normal Operations
2025-09-11 11:00:00,30.0,0.2,0.447,29.9,10.1,238,7,1,Normal Operations
2025-09-11 12:00:00,27.5,8.6,0.51,30.6,18.6,598,2,4,Pre-emptive Overtime Prior Shift
2025-09-11 13:00:00,27.9,0.0,0.503,24.1,18.6,692,9,3,Normal Operations
2025-09-11 14:00:00,28.4,0.0,0.497,30.6,18.2,491,4,0,Normal Operations
2025-09-11 15:00:00,28.3,0.1,0.494,31.7,18.1,774,8,2,Normal Operations
2025-09-11 16:00:00,28.3,0.0,0.491,19.4,18.1,518,14,1,Normal Operations
2025-09-11 17:00:00,27.4,0.2,0.491,14.4,18.3,388,7,3,Normal Operations
2025-09-11 18:00:00,26.5,0.0,0.487,6.1,18.3,478,13,1,Normal Operations
2025-09-11 19:00:00,26.2,0.0,0.487,6.5,18.3,872,15,3,Normal Operations
2025-09-11 20:00:00,25.7,0.0,0.487,9.7,18.3,589,7,4,Normal Operations
2025-09-11 21:00:00,25.5,0.0,0.487,9.7,18.3,330,8,1,Normal Operations
2025-09-11 22:00:00,25.3,0.0,0.486,11.9,18.3,140,1,4,Normal Operations
2025-09-11 23:00:00,25.2,0.0,0.486,13.3,18.2,127,5,2,Normal Operations
2025-09-12 00:00:00,24.9,0.0,0.486,10.4,17.9,234,2,4,Normal Operations
2025-09-12 01:00:00,24.7,0.0,0.486,13.3,17.9,300,2,3,Normal Operations
2025-09-12 02:00:00,24.6,0.0,0.485,19.1,17.9,939,15,2,Normal Operations
2025-09-12 03:00:00,24.6,0.0,0.485,19.8,17.9,879,1,1,Normal Operations
2025-09-12 04:00:00,24.6,0.0,0.485,21.2,17.9,132,5,1,Normal Operations
2025-09-12 05:00:00,24.5,0.1,0.486,22.0,18.0,147,2,3,Normal Operations
2025-09-12 06:00:00,24.0,0.6,0.488,21.2,18.6,602,4,0,Normal Operations
2025-09-12 07:00:00,24.7,0.6,0.495,22.7,19.2,506,3,0,Normal Operations
2025-09-12 08:00:00,26.5,0.0,0.494,28.4,19.2,673,3,1,Normal Operations
2025-09-12 09:00:00,28.1,0.0,0.492,30.6,19.2,827,2,3,Normal Operations
2025-09-12 10:00:00,29.1,0.1,0.49,29.2,19.2,904,13,0,Normal Operations
2025-09-12 11:00:00,30.5,0.1,0.487,29.9,19.2,198,6,4,Normal Operations
2025-09-12 12:00:00,31.4,0.1,0.483,29.9,19.2,783,2,1,Normal Operations
2025-09-12 13:00:00,29.9,0.5,0.484,27.0,17.9,971,14,4,Normal Operations
2025-09-12 14:00:00,29.1,0.6,0.488,30.2,16.699999999999996,825,14,3,Normal Operations
2025-09-12 15:00:00,27.8,1.9,0.505,21.6,18.4,646,8,4,Normal Operations
2025-09-12 16:00:00,27.9,0.1,0.502,14.4,18.5,838,8,0,Normal Operations
2025-09-12 17:00:00,26.8,5.6,0.513,12.2,23.5,712,13,0,Pause Operations & Maintain Equipment
2025-09-12 18:00:00,26.3,0.1,0.504,15.1,23.4,561,14,2,Normal Operations
2025-09-12 19:00:00,25.4,1.2,0.51,18.0,24.6,742,12,1,Normal Operations
2025-09-12 20:00:00,25.2,0.1,0.506,14.0,24.7,868,5,3,Normal Operations
2025-09-12 21:00:00,24.8,0.0,0.503,10.4,24.7,104,10,1,Normal Operations
2025-09-12 22:00:00,24.7,0.0,0.502,14.0,24.7,317,7,4,Normal Operations
2025-09-12 23:00:00,24.4,0.0,0.5,7.6,24.7,602,4,3,Normal Operations
2025-09-13 00:00:00,24.4,0.1,0.499,13.3,24.8,866,1,3,Normal Operations
2025-09-13 01:00:00,23.8,5.4,0.506,15.1,30.2,497,11,0,Pause Operations & Maintain Equipment
2025-09-13 02:00:00,23.9,1.3,0.52,19.8,31.5,970,2,4,Normal Operations
2025-09-13 03:00:00,23.8,2.3,0.517,14.8,33.8,894,10,0,Pause Operations & Maintain Equipment
2025-09-13 04:00:00,23.9,3.4,0.514,10.4,37.2,492,10,0,Pause Operations & Maintain Equipment
2025-09-13 05:00:00,23.8,0.0,0.51,15.1,37.2,306,4,2,Normal Operations
2025-09-13 06:00:00,24.2,0.0,0.492,16.2,37.2,114,1,0,Normal Operations
2025-09-13 07:00:00,25.4,0.0,0.492,18.7,37.2,957,15,1,Normal Operations
2025-09-13 08:00:00,26.9,0.0,0.492,19.4,37.2,653,13,3,Normal Operations
2025-09-13 09:00:00,28.5,0.1,0.491,22.3,37.3,991,8,0,Normal Operations
2025-09-13 10:00:00,29.5,0.2,0.49,20.2,37.5,560,9,1,Normal Operations
2025-09-13 11:00:00,30.3,0.4,0.49,19.4,37.8,790,4,4,Normal Operations
2025-09-13 12:00:00,30.3,1.1,0.496,19.1,38.8,674,10,3,Normal Operations
2025-09-13 13:00:00,26.8,24.1,0.514,20.5,62.900000000000006,963,3,4,Pre-emptive Overtime Prior Shift
2025-09-13 14:00:00,28.1,1.4,0.511,30.6,63.7,842,2,1,Pre-emptive Overtime Prior Shift
2025-09-13 15:00:00,28.6,0.1,0.507,19.4,62.3,340,5,4,Pause Operations & Maintain Equipment
2025-09-13 16:00:00,28.6,0.1,0.505,18.4,61.6,663,14,4,Pause Operations & Maintain Equipment
2025-09-13 17:00:00,28.0,0.1,0.503,18.4,61.2,195,3,4,Pre-emptive Overtime Prior Shift
2025-09-13 18:00:00,27.3,0.0,0.502,8.6,61.2,999,10,0,Pause Operations & Maintain Equipment
2025-09-13 19:00:00,26.7,0.0,0.5,4.0,61.2,833,7,0,Pause Operations & Maintain Equipment
2025-09-13 20:00:00,26.2,0.0,0.499,11.5,61.2,584,11,0,Pause Operations & Maintain Equipment
2025-09-13 21:00:00,25.6,0.0,0.498,11.9,61.2,506,6,3,Pause Operations & Maintain Equipment
2025-09-13 22:00:00,25.0,0.0,0.497,11.2,61.2,330,1,1,Pre-emptive Overtime Prior Shift
2025-09-13 23:00:00,24.6,0.0,0.496,11.5,61.2,848,12,0,Pause Operations & Maintain Equipment
2025-09-14 00:00:00,24.3,0.0,0.495,10.4,61.2,754,8,4,Pause Operations & Maintain Equipment
2025-09-14 01:00:00,24.3,0.0,0.494,9.7,61.2,270,2,4,Pre-emptive Overtime Prior Shift
2025-09-14 02:00:00,24.0,0.0,0.493,9.7,61.2,640,5,4,Pause Operations & Maintain Equipment
2025-09-14 03:00:00,23.9,0.0,0.493,6.5,61.2,135,9,4,Pause Operations & Maintain Equipment
2025-09-14 04:00:00,23.7,0.0,0.492,6.1,61.2,624,8,2,Pause Operations & Maintain Equipment
2025-09-14 05:00:00,23.7,0.0,0.492,9.0,61.2,259,2,3,Pre-emptive Overtime Prior Shift
2025-09-14 06:00:00,25.1,0.0,0.485,7.2,61.2,938,9,1,Pause Operations & Maintain Equipment
2025-09-14 07:00:00,26.2,0.0,0.485,8.6,61.2,798,5,1,Pause Operations & Maintain Equipment
2025-09-14 08:00:00,27.4,0.0,0.484,12.2,61.2,342,10,0,Pause Operations & Maintain Equipment
2025-09-14 09:00:00,28.7,0.0,0.483,15.5,61.0,185,14,2,Pause Operations & Maintain Equipment
2025-09-14 10:00:00,29.7,0.0,0.481,16.6,60.9,895,6,1,Pause Operations & Maintain Equipment
2025-09-14 11:00:00,30.2,0.2,0.48,20.9,60.9,677,13,3,Pause Operations & Maintain Equipment
2025-09-14 12:00:00,29.3,0.4,0.481,21.6,52.7,781,3,4,Pre-emptive Overtime Prior Shift
2025-09-14 13:00:00,27.5,2.9,0.511,24.1,55.6,656,13,0,Pause Operations & Maintain Equipment
2025-09-14 14:00:00,28.0,0.3,0.507,19.8,55.9,673,3,3,Pre-emptive Overtime Prior Shift
2025-09-14 15:00:00,28.3,0.9,0.512,14.8,56.7,745,10,1,Pause Operations & Maintain Equipment
2025-09-14 16:00:00,28.4,0.0,0.507,13.0,56.7,895,8,2,Pause Operations & Maintain Equipment
2025-09-14 17:00:00,28.1,0.0,0.504,11.5,56.5,127,11,0,Pause Operations & Maintain Equipment
2025-09-14 18:00:00,26.9,0.0,0.477,13.7,56.5,719,10,1,Pause Operations & Maintain Equipment
2025-09-14 19:00:00,26.6,0.0,0.478,2.9,56.5,655,10,0,Pause Operations & Maintain Equipment
2025-09-14 20:00:00,26.1,0.0,0.479,2.9,56.5,439,15,1,Pause Operations & Maintain Equipment
2025-09-14 21:00:00,25.8,0.0,0.479,2.2,56.5,897,12,4,Pause Operations & Maintain Equipment
2025-09-14 22:00:00,25.3,0.0,0.48,4.0,56.5,430,2,2,Pre-emptive Overtime Prior Shift
2025-09-14 23:00:00,25.2,0.5,0.484,4.0,57.0,739,11,4,Pause Operations & Maintain Equipment
2025-09-15 00:00:00,25.3,0.1,0.485,2.5,57.1,605,12,1,Pause Operations & Maintain Equipment
2025-09-15 01:00:00,24.9,0.0,0.486,2.5,57.1,447,12,3,Pause Operations & Maintain Equipment
2025-09-15 02:00:00,24.8,0.0,0.485,2.5,57.1,572,2,4,Pre-emptive Overtime Prior Shift
2025-09-15 03:00:00,24.5,0.0,0.485,6.1,57.1,330,13,3,Pause Operations & Maintain Equipment
2025-09-15 04:00:00,24.3,0.0,0.485,7.6,57.1,289,5,1,Pause Operations & Maintain Equipment
2025-09-15 05:00:00,24.0,0.0,0.485,6.8,57.0,324,6,2,Pause Operations & Maintain Equipment
2025-09-15 06:00:00,25.1,0.0,0.462,5.0,56.4,484,12,3,Pause Operations & Maintain Equipment
2025-09-15 07:00:00,26.1,0.0,0.464,6.1,55.8,476,2,1,Pre-emptive Overtime Prior Shift
2025-09-15 08:00:00,26.9,0.0,0.465,13.7,55.8,382,15,3,Pause Operations & Maintain Equipment
2025-09-15 09:00:00,28.0,0.1,0.466,15.1,55.9,732,5,4,Pause Operations & Maintain Equipment
2025-09-15 10:00:00,28.8,0.2,0.466,15.8,56.0,727,7,1,Pause Operations & Maintain Equipment
2025-09-15 11:00:00,29.4,0.4,0.467,16.2,56.3,844,10,4,Pause Operations & Maintain Equipment
2025-09-15 12:00:00,27.4,13.5,0.509,22.7,69.7,358,10,0,Pause Operations & Maintain Equipment
2025-09-15 13:00:00,27.8,0.3,0.507,21.6,69.5,458,8,1,Pause Operations & Maintain Equipment
2025-09-15 14:00:00,26.5,1.1,0.508,11.5,70.0,809,12,3,Pause Operations & Maintain Equipment
2025-09-15 15:00:00,27.2,0.3,0.507,14.4,68.4,555,7,0,Pause Operations & Maintain Equipment
2025-09-15 16:00:00,26.5,1.5,0.508,16.6,69.8,510,8,4,Pause Operations & Maintain Equipment
2025-09-15 17:00:00,26.4,0.1,0.506,7.6,64.3,748,14,4,Pause Operations & Maintain Equipment
2025-09-15 18:00:00,26.4,0.5,0.509,4.0,64.7,417,12,3,Pause Operations & Maintain Equipment
2025-09-15 19:00:00,26.4,1.3,0.517,4.0,64.8,776,9,0,Pause Operations & Maintain Equipment
2025-09-15 20:00:00,26.3,0.4,0.513,1.4,65.1,324,15,2,Pause Operations & Maintain Equipment
2025-09-15 21:00:00,26.0,0.2,0.511,3.2,65.3,918,5,3,Pause Operations & Maintain Equipment
2025-09-15 22:00:00,25.8,0.1,0.509,2.9,65.39999999999999,333,13,4,Pause Operations & Maintain Equipment
2025-09-15 23:00:00,25.4,0.0,0.507,4.0,65.39999999999999,783,5,1,Pause Operations & Maintain Equipment
2025-09-16 00:00:00,25.1,0.0,0.505,4.3,65.3,763,11,0,Pause Operations & Maintain Equipment
2025-09-16 01:00:00,24.9,0.0,0.503,4.7,59.9,926,10,2,Pause Operations & Maintain Equipment
2025-09-16 02:00:00,24.8,0.0,0.501,9.7,58.6,473,4,1,Pre-emptive Overtime Prior Shift
2025-09-16 03:00:00,24.7,0.0,0.5,10.1,56.3,771,13,0,Pause Operations & Maintain Equipment
2025-09-16 04:00:00,24.6,0.0,0.499,10.1,52.9,707,9,3,Pause Operations & Maintain Equipment
2025-09-16 05:00:00,24.4,0.6,0.505,10.1,53.5,571,5,3,Pause Operations & Maintain Equipment
2025-09-16 06:00:00,24.5,0.2,0.5,7.6,53.7,332,14,0,Pause Operations & Maintain Equipment
2025-09-16 07:00:00,25.6,0.0,0.499,9.7,53.7,791,2,2,Pre-emptive Overtime Prior Shift
2025-09-16 08:00:00,26.8,0.1,0.498,10.4,53.8,212,15,0,Pause Operations & Maintain Equipment
2025-09-16 09:00:00,27.8,0.0,0.496,14.0,53.7,929,10,1,Pause Operations & Maintain Equipment
2025-09-16 10:00:00,28.8,0.1,0.494,14.4,53.6,596,8,1,Pause Operations & Maintain Equipment
2025-09-16 11:00:00,29.5,0.1,0.491,16.2,53.3,541,15,3,Pause Operations & Maintain Equipment
2025-09-16 12:00:00,30.0,0.1,0.488,17.6,52.3,663,7,0,Pause Operations & Maintain Equipment
2025-09-16 13:00:00,29.8,0.1,0.486,18.7,28.3,367,8,3,Normal Operations
2025-09-16 14:00:00,29.7,0.1,0.485,14.8,27.0,609,12,2,Normal Operations
2025-09-16 15:00:00,28.0,0.9,0.492,13.3,27.8,906,3,1,Normal Operations
2025-09-16 16:00:00,26.4,1.4,0.504,14.4,29.1,485,15,4,Normal Operations
2025-09-16 17:00:00,26.0,0.1,0.503,9.7,29.1,486,15,4,Normal Operations
2025-09-16 18:00:00,26.4,1.5,0.501,7.6,30.6,212,4,0,Normal Operations
2025-09-16 19:00:00,25.4,1.9,0.503,11.9,32.5,712,5,0,Normal Operations
2025-09-16 20:00:00,25.1,0.1,0.502,4.3,32.6,724,6,4,Normal Operations
2025-09-16 21:00:00,24.9,0.0,0.501,3.6,32.6,180,1,0,Normal Operations
2025-09-16 22:00:00,24.8,0.0,0.499,4.3,32.6,798,4,1,Normal Operations
2025-09-16 23:00:00,24.7,0.0,0.498,5.4,32.6,212,11,2,Normal Operations
2025-09-17 00:00:00,24.6,0.0,0.497,6.8,32.6,101,12,2,Normal Operations
2025-09-17 01:00:00,24.5,0.0,0.496,10.1,32.6,741,10,3,Normal Operations
2025-09-17 02:00:00,24.6,0.0,0.496,9.7,32.6,319,13,1,Normal Operations
2025-09-17 03:00:00,24.7,0.4,0.5,6.5,33.0,665,5,0,Normal Operations
2025-09-17 04:00:00,24.5,0.3,0.502,10.4,33.3,954,7,0,Normal Operations
2025-09-17 05:00:00,24.4,0.0,0.501,11.2,33.3,835,13,3,Normal Operations
2025-09-17 06:00:00,24.5,0.0,0.487,10.4,33.3,324,5,3,Normal Operations
2025-09-17 07:00:00,25.1,0.3,0.49,12.6,33.6,484,13,0,Normal Operations
2025-09-17 08:00:00,26.0,0.2,0.491,15.1,33.8,502,13,0,Normal Operations
2025-09-17 09:00:00,27.1,0.2,0.491,16.6,34.0,737,1,1,Normal Operations
2025-09-17 10:00:00,27.6,0.2,0.491,16.6,34.2,229,11,3,Normal Operations
2025-09-17 11:00:00,28.1,0.2,0.49,15.5,34.2,152,7,1,Normal Operations
2025-09-17 12:00:00,28.7,0.1,0.489,13.7,33.9,783,8,0,Normal Operations
2025-09-17 13:00:00,28.1,0.1,0.488,14.8,31.1,829,13,4,Normal Operations
2025-09-17 14:00:00,28.7,0.0,0.486,13.3,30.8,771,7,4,Normal Operations
2025-09-17 15:00:00,28.6,0.0,0.485,12.2,29.9,809,11,0,Normal Operations
2025-09-17 16:00:00,28.0,0.0,0.483,10.8,29.9,515,14,3,Normal Operations
2025-09-17 17:00:00,27.3,0.0,0.483,9.7,29.9,346,13,4,Normal Operations
