time,temperature_2m,precipitation,soil_moisture_0_to_7cm,wind_gusts_10m,Rolling_72h_Rainfall
2025-09-09 04:00:00,23.6,0.0,0.451,14.0,18.5
2025-09-09 05:00:00,23.5,0.0,0.451,14.4,18.5
2025-09-09 06:00:00,24.3,0.0,0.447,12.2,18.5
2025-09-09 07:00:00,25.6,0.0,0.447,16.2,18.5
2025-09-09 08:00:00,27.2,0.0,0.447,23.4,18.4
2025-09-09 09:00:00,28.9,0.0,0.446,24.5,18.1
2025-09-09 10:00:00,30.0,0.1,0.444,22.0,18.0
2025-09-09 11:00:00,30.9,0.1,0.441,19.8,17.9
2025-09-09 12:00:00,31.0,0.1,0.439,19.4,17.900000000000002
2025-09-09 13:00:00,29.3,1.8,0.455,22.3,18.8
2025-09-09 14:00:00,27.2,1.8,0.472,23.8,19.3
2025-09-09 15:00:00,28.3,0.2,0.472,23.8,19.400000000000002
2025-09-09 16:00:00,28.4,0.0,0.471,14.8,19.400000000000002
2025-09-09 17:00:00,26.7,0.6,0.474,21.6,19.8
2025-09-09 18:00:00,27.1,0.2,0.437,10.1,20.000000000000004
2025-09-09 19:00:00,26.3,0.0,0.437,15.5,20.000000000000004
2025-09-09 20:00:00,25.6,0.0,0.438,15.1,20.000000000000004
2025-09-09 21:00:00,25.1,0.0,0.438,19.4,20.000000000000004
2025-09-09 22:00:00,24.8,0.0,0.438,17.6,20.000000000000004
2025-09-09 23:00:00,24.7,0.0,0.438,19.4,20.000000000000004
2025-09-10 00:00:00,24.6,0.0,0.438,18.7,20.000000000000004
2025-09-10 01:00:00,24.5,0.0,0.439,20.2,20.000000000000004
2025-09-10 02:00:00,24.4,0.0,0.439,20.2,20.000000000000004
2025-09-10 03:00:00,24.2,0.0,0.439,20.5,20.000000000000004
2025-09-10 04:00:00,24.2,0.0,0.439,20.2,20.000000000000004
2025-09-10 05:00:00,24.2,0.0,0.439,19.1,20.000000000000004
2025-09-10 06:00:00,24.6,0.0,0.449,19.4,18.6
2025-09-10 07:00:00,25.9,0.0,0.449,21.2,18.6
2025-09-10 08:00:00,27.5,0.0,0.448,22.0,18.6
2025-09-10 09:00:00,29.3,0.0,0.447,25.2,18.500000000000004
2025-09-10 10:00:00,30.4,0.0,0.445,24.8,18.400000000000002
2025-09-10 11:00:00,31.0,0.1,0.442,23.0,18.3
2025-09-10 12:00:00,31.3,0.1,0.44,23.4,18.200000000000003
2025-09-10 13:00:00,31.8,0.0,0.438,24.5,17.900000000000002
2025-09-10 14:00:00,30.5,0.6,0.441,24.5,13.500000000000002
2025-09-10 15:00:00,30.5,1.5,0.456,25.9,14.9
2025-09-10 16:00:00,28.9,0.8,0.462,23.8,14.6
2025-09-10 17:00:00,28.4,0.5,0.467,19.8,11.399999999999999
2025-09-10 18:00:00,27.5,0.0,0.469,13.7,11.399999999999999
2025-09-10 19:00:00,26.9,0.0,0.468,10.8,11.399999999999999
2025-09-10 20:00:00,26.3,0.0,0.468,10.8,11.399999999999999
2025-09-10 21:00:00,25.9,0.0,0.468,8.6,11.399999999999999
2025-09-10 22:00:00,25.6,0.0,0.467,11.2,11.399999999999999
2025-09-10 23:00:00,25.5,0.0,0.467,14.8,11.399999999999999
2025-09-11 00:00:00,25.3,0.0,0.467,15.1,11.399999999999999
2025-09-11 01:00:00,25.4,0.0,0.467,14.4,11.399999999999999
2025-09-11 02:00:00,25.1,0.0,0.466,14.4,11.399999999999999
2025-09-11 03:00:00,25.0,0.0,0.466,15.1,11.399999999999999
2025-09-11 04:00:00,24.9,0.0,0.466,16.9,11.399999999999999
2025-09-11 05:00:00,24.8,0.0,0.466,18.0,11.399999999999999
2025-09-11 06:00:00,25.8,0.0,0.449,18.7,10.6
2025-09-11 07:00:00,26.8,0.0,0.449,18.7,10.0
2025-09-11 08:00:00,28.1,0.0,0.449,19.8,9.899999999999999
2025-09-11 09:00:00,29.1,0.2,0.449,25.2,10.0
2025-09-11 10:00:00,29.8,0.1,0.448,26.3,10.0
2025-09-11 11:00:00,30.0,0.2,0.447,29.9,10.1
2025-09-11 12:00:00,27.5,8.6,0.51,30.6,18.6
2025-09-11 13:00:00,27.9,0.0,0.503,24.1,18.6
2025-09-11 14:00:00,28.4,0.0,0.497,30.6,18.199999999999996
2025-09-11 15:00:00,28.3,0.1,0.494,31.7,18.099999999999998
2025-09-11 16:00:00,28.3,0.0,0.491,19.4,18.099999999999998
2025-09-11 17:00:00,27.4,0.2,0.491,14.4,18.299999999999997
2025-09-11 18:00:00,26.5,0.0,0.487,6.1,18.299999999999997
2025-09-11 19:00:00,26.2,0.0,0.487,6.5,18.299999999999997
2025-09-11 20:00:00,25.7,0.0,0.487,9.7,18.299999999999997
2025-09-11 21:00:00,25.5,0.0,0.487,9.7,18.299999999999997
2025-09-11 22:00:00,25.3,0.0,0.486,11.9,18.299999999999997
2025-09-11 23:00:00,25.2,0.0,0.486,13.3,18.2
2025-09-12 00:00:00,24.9,0.0,0.486,10.4,17.9
2025-09-12 01:00:00,24.7,0.0,0.486,13.3,17.9
2025-09-12 02:00:00,24.6,0.0,0.485,19.1,17.9
2025-09-12 03:00:00,24.6,0.0,0.485,19.8,17.9
2025-09-12 04:00:00,24.6,0.0,0.485,21.2,17.9
2025-09-12 05:00:00,24.5,0.1,0.486,22.0,18.0
2025-09-12 06:00:00,24.0,0.6,0.488,21.2,18.6
2025-09-12 07:00:00,24.7,0.6,0.495,22.7,19.2
2025-09-12 08:00:00,26.5,0.0,0.494,28.4,19.2
2025-09-12 09:00:00,28.1,0.0,0.492,30.6,19.2
2025-09-12 10:00:00,29.1,0.1,0.49,29.2,19.2
2025-09-12 11:00:00,30.5,0.1,0.487,29.9,19.2
2025-09-12 12:00:00,31.4,0.1,0.483,29.9,19.2
2025-09-12 13:00:00,29.9,0.5,0.484,27.0,17.9
2025-09-12 14:00:00,29.1,0.6,0.488,30.2,16.699999999999996
2025-09-12 15:00:00,27.8,1.9,0.505,21.6,18.4
2025-09-12 16:00:00,27.9,0.1,0.502,14.4,18.499999999999996
2025-09-12 17:00:00,26.8,5.6,0.513,12.2,23.5
2025-09-12 18:00:00,26.3,0.1,0.504,15.1,23.4
2025-09-12 19:00:00,25.4,1.2,0.51,18.0,24.599999999999998
2025-09-12 20:00:00,25.2,0.1,0.506,14.0,24.699999999999996
2025-09-12 21:00:00,24.8,0.0,0.503,10.4,24.699999999999996
2025-09-12 22:00:00,24.7,0.0,0.502,14.0,24.699999999999996
2025-09-12 23:00:00,24.4,0.0,0.5,7.6,24.699999999999996
2025-09-13 00:00:00,24.4,0.1,0.499,13.3,24.799999999999997
2025-09-13 01:00:00,23.8,5.4,0.506,15.1,30.199999999999996
2025-09-13 02:00:00,23.9,1.3,0.52,19.8,31.499999999999996
2025-09-13 03:00:00,23.8,2.3,0.517,14.8,33.8
2025-09-13 04:00:00,23.9,3.4,0.514,10.4,37.199999999999996
2025-09-13 05:00:00,23.8,0.0,0.51,15.1,37.199999999999996
2025-09-13 06:00:00,24.2,0.0,0.492,16.2,37.199999999999996
2025-09-13 07:00:00,25.4,0.0,0.492,18.7,37.199999999999996
2025-09-13 08:00:00,26.9,0.0,0.492,19.4,37.199999999999996
2025-09-13 09:00:00,28.5,0.1,0.491,22.3,37.3
2025-09-13 10:00:00,29.5,0.2,0.49,20.2,37.5
2025-09-13 11:00:00,30.3,0.4,0.49,19.4,37.8
2025-09-13 12:00:00,30.3,1.1,0.496,19.1,38.800000000000004
2025-09-13 13:00:00,26.8,24.1,0.514,20.5,62.900000000000006
2025-09-13 14:00:00,28.1,1.4,0.511,30.6,63.7
2025-09-13 15:00:00,28.6,0.1,0.507,19.4,62.3
2025-09-13 16:00:00,28.6,0.1,0.505,18.4,61.599999999999994
2025-09-13 17:00:00,28.0,0.1,0.503,18.4,61.199999999999996
2025-09-13 18:00:00,27.3,0.0,0.502,8.6,61.199999999999996
2025-09-13 19:00:00,26.7,0.0,0.5,4.0,61.199999999999996
2025-09-13 20:00:00,26.2,0.0,0.499,11.5,61.199999999999996
2025-09-13 21:00:00,25.6,0.0,0.498,11.9,61.199999999999996
2025-09-13 22:00:00,25.0,0.0,0.497,11.2,61.199999999999996
2025-09-13 23:00:00,24.6,0.0,0.496,11.5,61.199999999999996
2025-09-14 00:00:00,24.3,0.0,0.495,10.4,61.199999999999996
2025-09-14 01:00:00,24.3,0.0,0.494,9.7,61.199999999999996
2025-09-14 02:00:00,24.0,0.0,0.493,9.7,61.199999999999996
2025-09-14 03:00:00,23.9,0.0,0.493,6.5,61.199999999999996
2025-09-14 04:00:00,23.7,0.0,0.492,6.1,61.199999999999996
2025-09-14 05:00:00,23.7,0.0,0.492,9.0,61.199999999999996
2025-09-14 06:00:00,25.1,0.0,0.485,7.2,61.199999999999996
2025-09-14 07:00:00,26.2,0.0,0.485,8.6,61.199999999999996
2025-09-14 08:00:00,27.4,0.0,0.484,12.2,61.199999999999996
2025-09-14 09:00:00,28.7,0.0,0.483,15.5,61.0
2025-09-14 10:00:00,29.7,0.0,0.481,16.6,60.9
2025-09-14 11:00:00,30.2,0.2,0.48,20.9,60.9
2025-09-14 12:00:00,29.3,0.4,0.481,21.6,52.7
2025-09-14 13:00:00,27.5,2.9,0.511,24.1,55.6
2025-09-14 14:00:00,28.0,0.3,0.507,19.8,55.9
2025-09-14 15:00:00,28.3,0.9,0.512,14.8,56.7
2025-09-14 16:00:00,28.4,0.0,0.507,13.0,56.7
2025-09-14 17:00:00,28.1,0.0,0.504,11.5,56.5
2025-09-14 18:00:00,26.9,0.0,0.477,13.7,56.5
2025-09-14 19:00:00,26.6,0.0,0.478,2.9,56.5
2025-09-14 20:00:00,26.1,0.0,0.479,2.9,56.5
2025-09-14 21:00:00,25.8,0.0,0.479,2.2,56.5
2025-09-14 22:00:00,25.3,0.0,0.48,4.0,56.5
2025-09-14 23:00:00,25.2,0.5,0.484,4.0,57.0
2025-09-15 00:00:00,25.3,0.1,0.485,2.5,57.099999999999994
2025-09-15 01:00:00,24.9,0.0,0.486,2.5,57.099999999999994
2025-09-15 02:00:00,24.8,0.0,0.485,2.5,57.099999999999994
2025-09-15 03:00:00,24.5,0.0,0.485,6.1,57.099999999999994
2025-09-15 04:00:00,24.3,0.0,0.485,7.6,57.099999999999994
2025-09-15 05:00:00,24.0,0.0,0.485,6.8,57.0
2025-09-15 06:00:00,25.1,0.0,0.462,5.0,56.4
2025-09-15 07:00:00,26.1,0.0,0.464,6.1,55.8
2025-09-15 08:00:00,26.9,0.0,0.465,13.7,55.8
2025-09-15 09:00:00,28.0,0.1,0.466,15.1,55.9
2025-09-15 10:00:00,28.8,0.2,0.466,15.8,56.0
2025-09-15 11:00:00,29.4,0.4,0.467,16.2,56.3
2025-09-15 12:00:00,27.4,13.5,0.509,22.7,69.7
2025-09-15 13:00:00,27.8,0.3,0.507,21.6,69.5
2025-09-15 14:00:00,26.5,1.1,0.508,11.5,70.0
2025-09-15 15:00:00,27.2,0.3,0.507,14.4,68.4
2025-09-15 16:00:00,26.5,1.5,0.508,16.6,69.8
2025-09-15 17:00:00,26.4,0.1,0.506,7.6,64.3
2025-09-15 18:00:00,26.4,0.5,0.509,4.0,64.7
2025-09-15 19:00:00,26.4,1.3,0.517,4.0,64.8
2025-09-15 20:00:00,26.3,0.4,0.513,1.4,65.1
2025-09-15 21:00:00,26.0,0.2,0.511,3.2,65.3
2025-09-15 22:00:00,25.8,0.1,0.509,2.9,65.39999999999999
2025-09-15 23:00:00,25.4,0.0,0.507,4.0,65.39999999999999
2025-09-16 00:00:00,25.1,0.0,0.505,4.3,65.3
2025-09-16 01:00:00,24.9,0.0,0.503,4.7,59.9
2025-09-16 02:00:00,24.8,0.0,0.501,9.7,58.599999999999994
2025-09-16 03:00:00,24.7,0.0,0.5,10.1,56.3
2025-09-16 04:00:00,24.6,0.0,0.499,10.1,52.9
2025-09-16 05:00:00,24.4,0.6,0.505,10.1,53.5
2025-09-16 06:00:00,24.5,0.2,0.5,7.6,53.7
2025-09-16 07:00:00,25.6,0.0,0.499,9.7,53.7
2025-09-16 08:00:00,26.8,0.1,0.498,10.4,53.800000000000004
2025-09-16 09:00:00,27.8,0.0,0.496,14.0,53.7
2025-09-16 10:00:00,28.8,0.1,0.494,14.4,53.599999999999994
2025-09-16 11:00:00,29.5,0.1,0.491,16.2,53.3
2025-09-16 12:00:00,30.0,0.1,0.488,17.6,52.3
2025-09-16 13:00:00,29.8,0.1,0.486,18.7,28.3
2025-09-16 14:00:00,29.7,0.1,0.485,14.8,27.0
2025-09-16 15:00:00,28.0,0.9,0.492,13.3,27.8
2025-09-16 16:00:00,26.4,1.4,0.504,14.4,29.099999999999998
2025-09-16 17:00:00,26.0,0.1,0.503,9.7,29.1
2025-09-16 18:00:00,26.4,1.5,0.501,7.6,30.6
2025-09-16 19:00:00,25.4,1.9,0.503,11.9,32.5
2025-09-16 20:00:00,25.1,0.1,0.502,4.3,32.6
2025-09-16 21:00:00,24.9,0.0,0.501,3.6,32.6
2025-09-16 22:00:00,24.8,0.0,0.499,4.3,32.6
2025-09-16 23:00:00,24.7,0.0,0.498,5.4,32.6
2025-09-17 00:00:00,24.6,0.0,0.497,6.8,32.6
2025-09-17 01:00:00,24.5,0.0,0.496,10.1,32.6
2025-09-17 02:00:00,24.6,0.0,0.496,9.7,32.6
2025-09-17 03:00:00,24.7,0.4,0.5,6.5,33.0
2025-09-17 04:00:00,24.5,0.3,0.502,10.4,33.3
2025-09-17 05:00:00,24.4,0.0,0.501,11.2,33.3
2025-09-17 06:00:00,24.5,0.0,0.487,10.4,33.3
2025-09-17 07:00:00,25.1,0.3,0.49,12.6,33.6
2025-09-17 08:00:00,26.0,0.2,0.491,15.1,33.8
2025-09-17 09:00:00,27.1,0.2,0.491,16.6,34.0
2025-09-17 10:00:00,27.6,0.2,0.491,16.6,34.2
2025-09-17 11:00:00,28.1,0.2,0.49,15.5,34.199999999999996
2025-09-17 12:00:00,28.7,0.1,0.489,13.7,33.9
2025-09-17 13:00:00,28.1,0.1,0.488,14.8,31.1
2025-09-17 14:00:00,28.7,0.0,0.486,13.3,30.8
2025-09-17 15:00:00,28.6,0.0,0.485,12.2,29.900000000000002
2025-09-17 16:00:00,28.0,0.0,0.483,10.8,29.900000000000002
2025-09-17 17:00:00,27.3,0.0,0.483,9.7,29.900000000000002
2025-09-17 18:00:00,26.3,0.0,0.473,7.2,29.900000000000002
2025-09-17 19:00:00,25.8,0.0,0.474,4.7,29.900000000000002
2025-09-17 20:00:00,25.5,0.0,0.474,2.9,29.900000000000002
2025-09-17 21:00:00,25.2,0.0,0.475,1.1,29.900000000000002
2025-09-17 22:00:00,25.0,0.0,0.475,0.7,29.900000000000002
2025-09-17 23:00:00,24.8,0.0,0.475,1.8,29.400000000000002
2025-09-18 00:00:00,24.7,0.0,0.475,8.6,29.3
2025-09-18 01:00:00,24.4,0.0,0.476,8.6,29.3
2025-09-18 02:00:00,24.2,0.0,0.476,8.3,29.3
2025-09-18 03:00:00,23.9,1.3,0.489,6.8,30.599999999999998
2025-09-18 04:00:00,23.5,2.4,0.515,12.2,33.0
2025-09-18 05:00:00,23.6,0.3,0.51,5.8,33.3
2025-09-18 06:00:00,24.3,0.0,0.492,7.9,33.3
2025-09-18 07:00:00,25.4,0.0,0.492,10.1,33.3
2025-09-18 08:00:00,26.4,0.1,0.492,10.4,33.4
2025-09-18 09:00:00,27.5,0.2,0.492,17.6,33.5
2025-09-18 10:00:00,28.3,0.1,0.49,19.8,33.4
2025-09-18 11:00:00,28.6,0.1,0.489,20.2,33.099999999999994
2025-09-18 12:00:00,29.0,0.1,0.488,20.9,19.7
2025-09-18 13:00:00,29.1,0.0,0.486,20.2,19.4
2025-09-18 14:00:00,29.5,0.1,0.484,17.6,18.400000000000002
2025-09-18 15:00:00,29.7,0.0,0.482,16.9,18.1
2025-09-18 16:00:00,29.5,0.1,0.482,13.3,16.7
2025-09-18 17:00:00,28.2,0.3,0.484,11.9,16.9
2025-09-18 18:00:00,27.2,0.0,0.489,3.2,16.4
2025-09-18 19:00:00,26.2,0.0,0.489,4.0,15.1
2025-09-18 20:00:00,25.6,0.0,0.488,4.3,14.7
2025-09-18 21:00:00,25.2,0.0,0.488,3.2,14.5
2025-09-18 22:00:00,24.8,0.0,0.488,5.0,14.399999999999999
2025-09-18 23:00:00,24.4,0.0,0.487,5.0,14.399999999999999
2025-09-19 00:00:00,24.5,0.0,0.487,2.9,14.399999999999999
2025-09-19 01:00:00,24.3,0.0,0.487,2.9,14.399999999999999
2025-09-19 02:00:00,24.0,0.0,0.487,2.9,14.399999999999999
2025-09-19 03:00:00,23.6,0.0,0.486,5.0,14.399999999999999
2025-09-19 04:00:00,23.4,0.0,0.486,10.4,14.399999999999999
2025-09-19 05:00:00,23.1,0.0,0.486,12.2,13.799999999999999
2025-09-19 06:00:00,25.5,0.0,0.465,4.0,13.6
2025-09-19 07:00:00,26.8,0.0,0.466,6.5,13.6
2025-09-19 08:00:00,28.1,0.0,0.466,11.5,13.5
2025-09-19 09:00:00,29.0,0.0,0.465,17.3,13.5
2025-09-19 10:00:00,29.6,0.0,0.464,21.6,13.399999999999999
2025-09-19 11:00:00,30.1,0.1,0.462,20.9,13.4
2025-09-19 12:00:00,30.4,0.0,0.46,20.2,13.3
2025-09-19 13:00:00,30.9,0.0,0.458,20.2,13.200000000000001
2025-09-19 14:00:00,31.1,0.0,0.456,20.2,13.100000000000001
2025-09-19 15:00:00,31.0,0.0,0.454,20.2,12.200000000000001
2025-09-19 16:00:00,29.5,0.1,0.454,18.4,10.9
2025-09-19 17:00:00,28.7,0.1,0.455,13.7,10.9
2025-09-19 18:00:00,28.8,0.0,0.453,5.8,9.4
2025-09-19 19:00:00,28.0,0.0,0.454,4.3,7.5
2025-09-19 20:00:00,27.2,0.0,0.455,4.7,7.4
2025-09-19 21:00:00,26.5,0.0,0.455,7.2,7.4
2025-09-19 22:00:00,26.0,0.0,0.456,7.6,7.4
2025-09-19 23:00:00,25.4,0.0,0.456,7.2,7.4
2025-09-20 00:00:00,25.1,0.0,0.457,4.3,7.4
2025-09-20 01:00:00,24.9,0.0,0.458,5.0,7.4
2025-09-20 02:00:00,24.4,1.1,0.467,6.1,8.5
2025-09-20 03:00:00,24.3,0.0,0.467,7.2,8.1
2025-09-20 04:00:00,23.9,0.0,0.467,7.2,7.8
2025-09-20 05:00:00,23.6,0.0,0.468,9.0,7.8
2025-09-20 06:00:00,25.4,0.0,0.43,13.3,7.8
2025-09-20 07:00:00,26.5,0.0,0.431,15.1,7.5
2025-09-20 08:00:00,28.0,0.0,0.432,14.0,7.3
2025-09-20 09:00:00,29.1,0.0,0.431,16.2,7.1
2025-09-20 10:00:00,30.0,0.0,0.43,18.0,6.8999999999999995
2025-09-20 11:00:00,30.7,0.0,0.428,18.7,6.699999999999999
2025-09-20 12:00:00,31.2,0.0,0.425,20.9,6.6
2025-09-20 13:00:00,31.3,0.1,0.423,20.9,6.6000000000000005
2025-09-20 14:00:00,30.7,0.1,0.422,21.6,6.7
2025-09-20 15:00:00,28.4,1.5,0.437,20.9,8.2
2025-09-20 16:00:00,28.3,0.1,0.437,16.9,8.3
2025-09-20 17:00:00,27.9,0.0,0.438,14.4,8.3
2025-09-20 18:00:00,26.9,0.0,0.44,13.7,8.3
2025-09-20 19:00:00,26.7,0.0,0.441,3.6,8.3
2025-09-20 20:00:00,26.1,0.0,0.441,2.9,8.3
2025-09-20 21:00:00,25.7,0.0,0.441,4.0,8.3
2025-09-20 22:00:00,25.4,0.0,0.442,5.0,8.3
2025-09-20 23:00:00,25.1,0.0,0.442,6.8,8.3
2025-09-21 00:00:00,24.9,0.0,0.443,9.0,8.3
2025-09-21 01:00:00,24.8,0.0,0.443,13.0,8.3
2025-09-21 02:00:00,24.7,0.0,0.444,15.1,8.3
2025-09-21 03:00:00,24.6,0.0,0.444,16.9,6.999999999999999
2025-09-21 04:00:00,24.5,0.0,0.444,16.9,4.6
2025-09-21 05:00:00,24.3,0.0,0.445,14.0,4.3
2025-09-21 06:00:00,25.2,0.0,0.43,14.4,4.3
2025-09-21 07:00:00,26.3,0.0,0.431,16.6,4.3
2025-09-21 08:00:00,27.8,0.0,0.43,22.3,4.199999999999999
2025-09-21 09:00:00,29.2,0.1,0.429,24.5,4.1
2025-09-21 10:00:00,30.4,0.1,0.428,27.0,4.1
2025-09-21 11:00:00,31.3,0.0,0.425,27.7,4.0
2025-09-21 12:00:00,31.8,0.0,0.422,27.4,3.9
2025-09-21 13:00:00,32.0,0.0,0.419,25.9,3.9
2025-09-21 14:00:00,31.8,0.0,0.417,26.3,3.8
2025-09-21 15:00:00,31.7,0.0,0.415,24.1,3.8
2025-09-21 16:00:00,31.4,0.0,0.414,23.0,3.6999999999999997
2025-09-21 17:00:00,30.1,0.0,0.414,14.8,3.4
2025-09-21 18:00:00,28.6,0.0,0.4,2.5,3.4
2025-09-21 19:00:00,27.6,0.0,0.401,6.1,3.4
2025-09-21 20:00:00,27.0,0.0,0.402,7.9,3.4
2025-09-21 21:00:00,26.5,0.0,0.403,8.6,3.4
2025-09-21 22:00:00,25.8,0.0,0.404,7.9,3.4
2025-09-21 23:00:00,25.6,0.0,0.404,5.0,3.4
2025-09-22 00:00:00,25.4,0.0,0.405,3.2,3.4
2025-09-22 01:00:00,25.2,0.0,0.406,3.6,3.4
2025-09-22 02:00:00,25.0,0.0,0.407,3.6,3.4
2025-09-22 03:00:00,24.4,0.0,0.407,5.0,3.4
2025-09-22 04:00:00,24.2,0.0,0.408,6.5,3.4
2025-09-22 05:00:00,23.9,0.0,0.409,9.7,3.4
2025-09-22 06:00:00,25.7,0.0,0.397,16.9,3.4
2025-09-22 07:00:00,27.0,0.0,0.397,19.4,3.4
2025-09-22 08:00:00,28.6,0.0,0.397,21.6,3.4
2025-09-22 09:00:00,29.9,0.0,0.396,24.1,3.4
2025-09-22 10:00:00,31.3,0.0,0.394,25.9,3.4
2025-09-22 11:00:00,32.2,0.0,0.391,25.9,3.3
2025-09-22 12:00:00,32.6,0.0,0.388,25.6,3.3
2025-09-22 13:00:00,32.6,0.0,0.385,25.6,3.3
2025-09-22 14:00:00,32.8,0.0,0.382,25.2,3.3
2025-09-22 15:00:00,32.3,0.0,0.38,23.4,3.3
2025-09-22 16:00:00,31.3,0.0,0.379,22.7,3.1999999999999997
2025-09-22 17:00:00,29.6,0.0,0.379,19.4,3.0999999999999996
2025-09-22 18:00:00,27.9,0.0,0.386,9.4,3.0999999999999996
