Mine_Location,Machine_ID,Equipment_Type,Capacity,Purchase_Date,Last_Serviced_Date,Health_Score_%,Current_Status,Workers_Count,Has_Fuel_Sensor,Fuel_Capacity_L,Current_Fuel_L
Chikla Mine,MOIL-EXC-0048,Excavator,40 Ton,2024-10-17,2026-06-22,61.4,Active,700 - 900,0,,
Chikla Mine,MOIL-DOZ-0049,Dozer,200 HP,2025-04-22,2026-07-03,62.2,Idle,700 - 900,0,,
Chikla Mine,MOIL-DOZ-0050,Dozer,300 HP,2025-07-02,2026-08-12,85.9,Active,700 - 900,0,,
Chikla Mine,MOIL-EXC-0051,Excavator,30 Ton,2023-08-31,2026-07-14,68.7,Active,700 - 900,0,,
Chikla Mine,MOIL-DUM-0052,Dumper,60 Ton,2023-05-03,2026-05-28,40.8,Active,700 - 900,0,,
Chikla Mine,MOIL-EXC-0053,Excavator,50 Ton,2025-07-03,2026-06-27,64.1,Active,700 - 900,0,,
Kandri Mine,MOIL-DUM-0054,Dumper,35 Ton,2025-06-03,2026-07-05,63.7,Idle,500 - 700,0,,
Kandri Mine,MOIL-EXC-0055,Excavator,50 Ton,2024-01-31,2026-05-19,43.7,Active,500 - 700,0,,
Kandri Mine,MOIL-DOZ-0056,Dozer,400 HP,2025-05-17,2026-08-19,82.9,Idle,500 - 700,0,,
Kandri Mine,MOIL-DOZ-0057,Dozer,300 HP,2025-08-07,2026-05-27,46.7,Active,500 - 700,0,,
Kandri Mine,MOIL-DOZ-0058,Dozer,200 HP,2025-01-25,2026-05-24,37.6,Maintenance,500 - 700,0,,
Kandri Mine,MOIL-DUM-0059,Dumper,60 Ton,2023-02-08,2026-08-17,81.7,Active,500 - 700,0,,
Kandri Mine,MOIL-EXC-0060,Excavator,30 Ton,2023-03-08,2026-05-20,39.8,Maintenance,500 - 700,0,,
Mansar Mine,MOIL-DUM-0061,Dumper,35 Ton,2022-12-18,2026-05-29,45.6,Active,500 - 650,0,,
Mansar Mine,MOIL-LHD-0062,LHD (Load Haul Dumper),2 Ton,2022-11-08,2026-07-21,69.6,Idle,500 - 650,0,,
Mansar Mine,MOIL-SUR-0063,Surface Driller,150 mm,2025-08-18,2026-07-17,73.4,Active,500 - 650,0,,
Mansar Mine,MOIL-DOZ-0064,Dozer,200 HP,2022-07-01,2026-05-12,35.8,Maintenance,500 - 650,0,,
Mansar Mine,MOIL-EXC-0065,Excavator,50 Ton,2024-11-11,2026-05-22,42.3,Active,500 - 650,0,,
Gumgaon Mine,MOIL-LHD-0066,LHD (Load Haul Dumper),5 Ton,2023-10-24,2026-05-16,40.7,Active,450 - 600,0,,
Gumgaon Mine,MOIL-DUM-0067,Dumper,60 Ton,2025-03-14,2026-08-13,83.2,Active,450 - 600,0,,
Gumgaon Mine,MOIL-DUM-0068,Dumper,35 Ton,2024-05-06,2026-07-06,68.9,Active,450 - 600,0,,
Gumgaon Mine,MOIL-DUM-0069,Dumper,60 Ton,2022-05-10,2026-05-29,44.9,Active,450 - 600,0,,
Gumgaon Mine,MOIL-SUR-0070,Surface Driller,150 mm,2022-06-21,2026-07-22,74.5,Active,450 - 600,0,,
Gumgaon Mine,MOIL-DUM-0071,Dumper,35 Ton,2025-02-13,2026-05-27,47.5,Active,450 - 600,0,,
Beldongri Mine,MOIL-EXC-0072,Excavator,30 Ton,2025-06-01,2026-07-05,66.0,Active,200 - 350,0,,
Beldongri Mine,MOIL-DOZ-0073,Dozer,300 HP,2022-08-14,2026-08-25,84.1,Active,200 - 350,0,,
Beldongri Mine,MOIL-EXC-0074,Excavator,40 Ton,2021-10-16,2026-05-28,42.2,Active,200 - 350,0,,
Beldongri Mine,MOIL-DOZ-0075,Dozer,400 HP,2024-03-31,2026-07-27,78.9,Active,200 - 350,0,,
Beldongri Mine,MOIL-DUM-0076,Dumper,100 Ton,2023-12-13,2026-08-23,89.3,Active,200 - 350,0,,
Beldongri Mine,MOIL-SUR-0077,Surface Driller,150 mm,2025-05-09,2026-06-02,50.6,Idle,200 - 350,0,,
Parsoda Mine,MOIL-SUR-0078,Surface Driller,150 mm,2022-11-08,2026-07-27,76.4,Active,200 - 350,0,,
Parsoda Mine,MOIL-DUM-0079,Dumper,35 Ton,2025-01-02,2026-08-22,90.9,Idle,200 - 350,0,,
Parsoda Mine,MOIL-EXC-0080,Excavator,50 Ton,2022-08-14,2026-07-11,64.0,Active,200 - 350,0,,
Parsoda Mine,MOIL-DUM-0081,Dumper,35 Ton,2023-07-13,2026-08-19,82.1,Active,200 - 350,0,,
Parsoda Mine,MOIL-DOZ-0082,Dozer,200 HP,2023-11-04,2026-08-21,85.6,Active,200 - 350,0,,
Parsoda Mine,MOIL-LHD-0083,LHD (Load Haul Dumper),3 Ton,2023-10-05,2026-07-14,64.3,Active,200 - 350,0,,
Parsoda Mine,MOIL-SUR-0084,Surface Driller,150 mm,2022-06-16,2026-08-22,88.6,Active,200 - 350,0,,
Parsoda Mine,MOIL-LHD-0085,LHD (Load Haul Dumper),2 Ton,2025-03-22,2026-05-10,30.9,Maintenance,200 - 350,0,,
Parsoda Mine,MOIL-LHD-0086,LHD (Load Haul Dumper),5 Ton,2022-06-02,2026-08-02,77.9,Idle,200 - 350,0,,
